atc_A	atc_class_name_A	atc_B	atc_class_name_B	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_N1
A01	Stomatological preparations	J01	Antibacterials for systemic use	1326690	219614	0.1655	8e-04	0.619
D01	Antifungals for dermatological use	R06	Antihistamines for systemic use	1323631	32467	0.0245	8e-04	1.509
L01	Antineoplastic agents	S01	Ophthalmologicals	1320532	32800	0.0248	8e-04	1.513
B01	Antithrombotic agents	S02	Otologicals	1316791	12025	0.0091	8e-04	1.035
D10	Anti-acne preparations	R01	Nasal preparations	1314662	124014	0.0943	8e-04	0.769
J01	Antibacterials for systemic use	R02	Throat preparations	1313506	8385	0.0064	8e-04	4.514
M02	Topical products for joint and muscular pain	R01	Nasal preparations	1312851	37212	0.0283	8e-04	1.156
C07	Beta blocking agents	N07	Other nervous system drugs	1312349	24878	0.019	8e-04	1.21
L02	Endocrine therapy	N05	Psycholeptics	1307081	84663	0.0648	8e-04	1.15
A03	Drugs for functional gastrointestinal disorders	M03	Muscle relaxants	1303332	10873	0.0083	8e-04	2.467
H02	Corticosteroids for systemic use	L01	Antineoplastic agents	1299114	43420	0.0334	8e-04	1.59
C01	Cardiac therapy	C02	Antihypertensives	1298996	6407	0.0049	8e-04	3.869
B01	Antithrombotic agents	L04	Immunosuppressants	1297833	17571	0.0135	8e-04	1.199
G04	Urologicals	L04	Immunosuppressants	1297761	37780	0.0291	8e-04	1.029
A10	Drugs used in diabetes	P01	Antiprotozoals	1294702	29822	0.023	8e-04	0.438
P01	Antiprotozoals	R03	Drugs for obstructive airway diseases	1294261	32142	0.0248	8e-04	0.709
D10	Anti-acne preparations	N02	Analgesics	1286850	29709	0.0231	8e-04	0.41
A01	Stomatological preparations	G01	Gynecological antiinfectives and antiseptics	1281648	162075	0.1265	8e-04	5.55
N04	Anti-parkinson drugs	R01	Nasal preparations	1280435	21590	0.0169	8e-04	0.827
A03	Drugs for functional gastrointestinal disorders	M01	Anti-inflammatory and antirheumatic products	1274939	26918	0.0211	7e-04	1.364
J05	Antivirals for systemic use	M01	Anti-inflammatory and antirheumatic products	1273784	106249	0.0834	7e-04	0.747
A11	Vitamins	R03	Drugs for obstructive airway diseases	1266531	29530	0.0233	7e-04	0.868
C02	Antihypertensives	R03	Drugs for obstructive airway diseases	1256299	23444	0.0187	7e-04	0.906
A01	Stomatological preparations	R03	Drugs for obstructive airway diseases	1253515	207421	0.1655	7e-04	1.025
C08	Calcium channel blockers	J05	Antivirals for systemic use	1251661	46430	0.0371	7e-04	0.424
D01	Antifungals for dermatological use	H02	Corticosteroids for systemic use	1248735	40674	0.0326	7e-04	1.966
D01	Antifungals for dermatological use	M01	Anti-inflammatory and antirheumatic products	1245044	67392	0.0541	7e-04	1.259
C10	Lipid modifying agents	D05	Antipsoriatics	1243104	19888	0.016	7e-04	1.158
D01	Antifungals for dermatological use	P01	Antiprotozoals	1241692	234541	0.1889	7e-04	5.352
A03	Drugs for functional gastrointestinal disorders	G04	Urologicals	1240684	17024	0.0137	7e-04	1.433
A11	Vitamins	R01	Nasal preparations	1240290	45854	0.037	7e-04	1.056
D06	Antibiotics and chemotherapeutics for dermatological use	N03	Antiepileptics	1239486	42568	0.0343	7e-04	1.037
C10	Lipid modifying agents	D10	Anti-acne preparations	1239376	54347	0.0439	7e-04	0.214
H02	Corticosteroids for systemic use	J05	Antivirals for systemic use	1235841	76411	0.0618	7e-04	1.128
D10	Anti-acne preparations	N05	Psycholeptics	1228908	49067	0.0399	7e-04	0.459
B01	Antithrombotic agents	D11	Other dermatological preparations	1227715	12012	0.0098	7e-04	3.16
A04	Antiemetics and antinauseants	N03	Antiepileptics	1226346	20789	0.017	7e-04	1.867
M01	Anti-inflammatory and antirheumatic products	N04	Anti-parkinson drugs	1216194	31000	0.0255	7e-04	1.113
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D01	Antifungals for dermatological use	1215235	65931	0.0543	7e-04	2.6
M02	Topical products for joint and muscular pain	R03	Drugs for obstructive airway diseases	1208856	22998	0.019	7e-04	0.856
C03	Diuretics	D10	Anti-acne preparations	1195601	48941	0.0409	7e-04	0.288
M03	Muscle relaxants	N04	Anti-parkinson drugs	1187883	19192	0.0162	7e-04	1.924
A04	Antiemetics and antinauseants	C10	Lipid modifying agents	1183655	22369	0.0189	7e-04	0.492
A04	Antiemetics and antinauseants	C09	Agents acting on the renin-angiotensin system	1178414	12661	0.0107	7e-04	0.559
G01	Gynecological antiinfectives and antiseptics	S01	Ophthalmologicals	1175992	34107	0.029	7e-04	1.167
D07	Corticosteroids, dermatological preparations	L01	Antineoplastic agents	1173925	45436	0.0387	7e-04	1.464
A10	Drugs used in diabetes	J05	Antivirals for systemic use	1164262	63648	0.0547	7e-04	0.239
C10	Lipid modifying agents	H05	Calcium homeostasis	1163939	30819	0.0265	7e-04	1.632
D10	Anti-acne preparations	L01	Antineoplastic agents	1162390	93206	0.0802	7e-04	3.345
A02	Drugs for acid related disorders	D10	Anti-acne preparations	1161066	76594	0.066	7e-04	0.42
L02	Endocrine therapy	N02	Analgesics	1160921	30256	0.0261	7e-04	0.871
N06	Psychoanaleptics	V03	All other therapeutic products	1159842	1757	0.0015	7e-04	1.307
C01	Cardiac therapy	M05	Drugs for treatment of bone diseases	1157558	13014	0.0112	7e-04	1.646
A02	Drugs for acid related disorders	C05	Vasoprotectives	1156995	26307	0.0227	7e-04	1.498
C08	Calcium channel blockers	D06	Antibiotics and chemotherapeutics for dermatological use	1154045	20037	0.0174	7e-04	0.732
A10	Drugs used in diabetes	D06	Antibiotics and chemotherapeutics for dermatological use	1151333	29531	0.0256	7e-04	0.443
C09	Agents acting on the renin-angiotensin system	D10	Anti-acne preparations	1144762	27290	0.0238	7e-04	0.226
A11	Vitamins	M01	Anti-inflammatory and antirheumatic products	1142882	51894	0.0454	7e-04	1.378
C01	Cardiac therapy	M03	Muscle relaxants	1140895	17560	0.0154	7e-04	1.072
M01	Anti-inflammatory and antirheumatic products	M02	Topical products for joint and muscular pain	1138253	79798	0.0701	7e-04	1.42
A04	Antiemetics and antinauseants	R06	Antihistamines for systemic use	1136789	98121	0.0863	7e-04	2.557
A04	Antiemetics and antinauseants	G03	Sex hormones and modulators of the genital system	1135804	108960	0.0959	7e-04	0.554
L04	Immunosuppressants	M03	Muscle relaxants	1131118	18571	0.0164	7e-04	1.47
N07	Other nervous system drugs	R05	Cough and cold preparations	1126464	1174	0.001	7e-04	1.788
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	L01	Antineoplastic agents	1123823	119044	0.1059	7e-04	1.869
C02	Antihypertensives	R05	Cough and cold preparations	1123564	606	5e-04	7e-04	0.974
C02	Antihypertensives	R01	Nasal preparations	1121742	21019	0.0187	7e-04	1.006
A03	Drugs for functional gastrointestinal disorders	B01	Antithrombotic agents	1111553	5087	0.0046	7e-04	1.496
C08	Calcium channel blockers	L02	Endocrine therapy	1111057	35652	0.0321	7e-04	1.256
A01	Stomatological preparations	R01	Nasal preparations	1107831	121125	0.1093	7e-04	1.126
C10	Lipid modifying agents	J02	Antimycotics for systemic use	1099680	51071	0.0464	6e-04	0.77
L04	Immunosuppressants	R06	Antihistamines for systemic use	1098579	24856	0.0226	6e-04	0.91
G04	Urologicals	M02	Topical products for joint and muscular pain	1090351	36437	0.0334	6e-04	1.468
G01	Gynecological antiinfectives and antiseptics	G04	Urologicals	1089867	27519	0.0252	6e-04	0.801
D06	Antibiotics and chemotherapeutics for dermatological use	R03	Drugs for obstructive airway diseases	1087702	46251	0.0425	6e-04	0.677
P01	Antiprotozoals	R06	Antihistamines for systemic use	1085965	27233	0.0251	6e-04	1.182
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C01	Cardiac therapy	1084854	8035	0.0074	6e-04	1.22
C09	Agents acting on the renin-angiotensin system	D05	Antipsoriatics	1083830	15058	0.0139	6e-04	1.153
A06	Drugs for constipation	H03	Thyroid therapy	1081568	78040	0.0722	6e-04	1.294
C08	Calcium channel blockers	D01	Antifungals for dermatological use	1080990	21338	0.0197	6e-04	0.632
M04	Antigout preparations	S01	Ophthalmologicals	1070314	15492	0.0145	6e-04	1.161
D05	Antipsoriatics	D07	Corticosteroids, dermatological preparations	1069855	221229	0.2068	6e-04	7.587
C05	Vasoprotectives	N05	Psycholeptics	1065153	39537	0.0371	6e-04	1.424
C03	Diuretics	D05	Antipsoriatics	1061386	13001	0.0122	6e-04	1.381
D07	Corticosteroids, dermatological preparations	M05	Drugs for treatment of bone diseases	1058533	43285	0.0409	6e-04	1.018
C01	Cardiac therapy	D07	Corticosteroids, dermatological preparations	1054925	10176	0.0096	6e-04	0.889
A10	Drugs used in diabetes	L02	Endocrine therapy	1037475	44036	0.0424	6e-04	0.711
L03	Immunostimulants	N06	Psychoanaleptics	1037220	110177	0.1062	6e-04	1.38
D11	Other dermatological preparations	N05	Psycholeptics	1035933	36996	0.0357	6e-04	0.955
A03	Drugs for functional gastrointestinal disorders	H02	Corticosteroids for systemic use	1035170	15437	0.0149	6e-04	1.724
A04	Antiemetics and antinauseants	C03	Diuretics	1027167	8979	0.0087	6e-04	0.596
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	P01	Antiprotozoals	1026310	35764	0.0348	6e-04	2.097
C09	Agents acting on the renin-angiotensin system	J02	Antimycotics for systemic use	1025263	25022	0.0244	6e-04	0.82
D01	Antifungals for dermatological use	S02	Otologicals	1016852	88651	0.0872	6e-04	2.838
A01	Stomatological preparations	C10	Lipid modifying agents	1014554	61779	0.0609	6e-04	0.305
J01	Antibacterials for systemic use	N07	Other nervous system drugs	1011037	55818	0.0552	6e-04	0.762
A11	Vitamins	B01	Antithrombotic agents	995928	10946	0.011	6e-04	1.511
C02	Antihypertensives	M04	Antigout preparations	995236	8963	0.009	6e-04	4.155
L01	Antineoplastic agents	M05	Drugs for treatment of bone diseases	991592	38957	0.0393	6e-04	2.086
G04	Urologicals	J05	Antivirals for systemic use	989332	92641	0.0936	6e-04	0.626
A03	Drugs for functional gastrointestinal disorders	S01	Ophthalmologicals	987719	12309	0.0125	6e-04	1.54
D10	Anti-acne preparations	R03	Drugs for obstructive airway diseases	986039	72641	0.0737	6e-04	0.464
M03	Muscle relaxants	P01	Antiprotozoals	982496	16636	0.0169	6e-04	1.678
D06	Antibiotics and chemotherapeutics for dermatological use	M01	Anti-inflammatory and antirheumatic products	980782	55090	0.0562	6e-04	1.075
A01	Stomatological preparations	N05	Psycholeptics	979408	55571	0.0567	6e-04	0.635
M03	Muscle relaxants	M05	Drugs for treatment of bone diseases	978789	18579	0.019	6e-04	1.05
A06	Drugs for constipation	N03	Antiepileptics	976672	21815	0.0223	6e-04	1.694
A06	Drugs for constipation	J01	Antibacterials for systemic use	976589	66769	0.0684	6e-04	0.719
J02	Antimycotics for systemic use	N06	Psychoanaleptics	976365	79544	0.0815	6e-04	0.658
J05	Antivirals for systemic use	S01	Ophthalmologicals	974162	64001	0.0657	6e-04	0.832
C07	Beta blocking agents	D05	Antipsoriatics	972192	8611	0.0089	6e-04	1.723
D11	Other dermatological preparations	N02	Analgesics	969050	8484	0.0088	6e-04	0.762
A04	Antiemetics and antinauseants	C07	Beta blocking agents	962191	14004	0.0146	6e-04	0.761
M03	Muscle relaxants	S02	Otologicals	960384	18181	0.0189	6e-04	1.062
C07	Beta blocking agents	H05	Calcium homeostasis	958138	12455	0.013	6e-04	2.555
C05	Vasoprotectives	N02	Analgesics	955121	8736	0.0091	6e-04	1.089
A06	Drugs for constipation	G03	Sex hormones and modulators of the genital system	953290	123125	0.1292	6e-04	0.529
L01	Antineoplastic agents	L04	Immunosuppressants	953269	57265	0.0601	6e-04	2.43
A01	Stomatological preparations	C09	Agents acting on the renin-angiotensin system	949008	34496	0.0363	6e-04	0.325
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M05	Drugs for treatment of bone diseases	947215	27091	0.0286	6e-04	1.215
C09	Agents acting on the renin-angiotensin system	H05	Calcium homeostasis	946995	14084	0.0149	6e-04	1.516
H03	Thyroid therapy	N07	Other nervous system drugs	943753	42111	0.0446	6e-04	1.156
A01	Stomatological preparations	C03	Diuretics	942960	64565	0.0685	6e-04	0.395
M02	Topical products for joint and muscular pain	R06	Antihistamines for systemic use	940198	17392	0.0185	6e-04	1.323
M04	Antigout preparations	R06	Antihistamines for systemic use	934201	13093	0.014	5e-04	0.784
J01	Antibacterials for systemic use	L02	Endocrine therapy	933878	63318	0.0678	5e-04	0.591
A01	Stomatological preparations	A02	Drugs for acid related disorders	932656	66669	0.0715	5e-04	0.586
H02	Corticosteroids for systemic use	M02	Topical products for joint and muscular pain	924678	45636	0.0494	5e-04	1.796
A03	Drugs for functional gastrointestinal disorders	A04	Antiemetics and antinauseants	917476	48318	0.0527	5e-04	8.645
C10	Lipid modifying agents	D09	Medicated dressings	916031	43057	0.047	5e-04	0.774
D06	Antibiotics and chemotherapeutics for dermatological use	R06	Antihistamines for systemic use	914870	30105	0.0329	5e-04	1.132
B01	Antithrombotic agents	G01	Gynecological antiinfectives and antiseptics	914494	10213	0.0112	5e-04	0.783
C05	Vasoprotectives	J01	Antibacterials for systemic use	906730	58542	0.0646	5e-04	0.872
A06	Drugs for constipation	A10	Drugs used in diabetes	905432	26250	0.029	5e-04	0.722
D07	Corticosteroids, dermatological preparations	D10	Anti-acne preparations	905411	85887	0.0949	5e-04	1.191
M03	Muscle relaxants	N07	Other nervous system drugs	904328	19635	0.0217	5e-04	3.721
D07	Corticosteroids, dermatological preparations	J05	Antivirals for systemic use	902288	69852	0.0774	5e-04	0.839
N04	Anti-parkinson drugs	R06	Antihistamines for systemic use	901518	11479	0.0127	5e-04	0.931
A06	Drugs for constipation	C08	Calcium channel blockers	898575	19219	0.0214	5e-04	1.181
A03	Drugs for functional gastrointestinal disorders	S02	Otologicals	897200	31106	0.0347	5e-04	2.65
D10	Anti-acne preparations	H03	Thyroid therapy	897070	70946	0.0791	5e-04	0.392
D10	Anti-acne preparations	R05	Cough and cold preparations	896687	8302	0.0093	5e-04	0.508
A11	Vitamins	H02	Corticosteroids for systemic use	890206	19824	0.0223	5e-04	1.672
A11	Vitamins	G04	Urologicals	888800	24982	0.0281	5e-04	1.157
D07	Corticosteroids, dermatological preparations	J02	Antimycotics for systemic use	887940	143068	0.1611	5e-04	4.731
D11	Other dermatological preparations	J01	Antibacterials for systemic use	883311	47504	0.0538	5e-04	0.585
L02	Endocrine therapy	M05	Drugs for treatment of bone diseases	875933	135566	0.1548	5e-04	4.583
N01	Anesthetics	S01	Ophthalmologicals	871898	131657	0.151	5e-04	20.704
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	G01	Gynecological antiinfectives and antiseptics	871438	23688	0.0272	5e-04	1.256
A01	Stomatological preparations	N02	Analgesics	869067	22019	0.0253	5e-04	0.481
J01	Antibacterials for systemic use	J02	Antimycotics for systemic use	865359	101123	0.1169	5e-04	0.941
N05	Psycholeptics	V03	All other therapeutic products	855141	1827	0.0021	5e-04	2.162
D07	Corticosteroids, dermatological preparations	P01	Antiprotozoals	849235	43921	0.0517	5e-04	1.301
P01	Antiprotozoals	S01	Ophthalmologicals	848723	27012	0.0318	5e-04	1.194
A06	Drugs for constipation	R05	Cough and cold preparations	848659	1077	0.0013	5e-04	1.317
G04	Urologicals	P01	Antiprotozoals	847210	22724	0.0268	5e-04	0.883
A11	Vitamins	M03	Muscle relaxants	841968	15010	0.0178	5e-04	1.797
C01	Cardiac therapy	N04	Anti-parkinson drugs	839064	7304	0.0087	5e-04	1.802
C09	Agents acting on the renin-angiotensin system	D09	Medicated dressings	837933	20842	0.0249	5e-04	0.809
A02	Drugs for acid related disorders	H05	Calcium homeostasis	836774	16755	0.02	5e-04	2.454
C03	Diuretics	H05	Calcium homeostasis	835547	8379	0.01	5e-04	1.636
D11	Other dermatological preparations	R01	Nasal preparations	834646	40120	0.0481	5e-04	1.206
A04	Antiemetics and antinauseants	H03	Thyroid therapy	833633	42317	0.0508	5e-04	0.876
D01	Antifungals for dermatological use	G04	Urologicals	831936	31334	0.0377	5e-04	0.908
B01	Antithrombotic agents	P01	Antiprotozoals	829795	15691	0.0189	5e-04	1.008
C08	Calcium channel blockers	N07	Other nervous system drugs	822641	12338	0.015	5e-04	1.106
D06	Antibiotics and chemotherapeutics for dermatological use	J05	Antivirals for systemic use	822521	137325	0.167	5e-04	2.336
L01	Antineoplastic agents	M01	Anti-inflammatory and antirheumatic products	821056	38124	0.0464	5e-04	0.645
D06	Antibiotics and chemotherapeutics for dermatological use	S01	Ophthalmologicals	819921	39348	0.048	5e-04	1.31
C07	Beta blocking agents	D10	Anti-acne preparations	819411	24513	0.0299	5e-04	0.269
D06	Antibiotics and chemotherapeutics for dermatological use	G04	Urologicals	818281	41505	0.0507	5e-04	0.969
D01	Antifungals for dermatological use	S01	Ophthalmologicals	817097	29471	0.0361	5e-04	1.204
D09	Medicated dressings	M01	Anti-inflammatory and antirheumatic products	816863	34583	0.0423	5e-04	3.313
G03	Sex hormones and modulators of the genital system	M04	Antigout preparations	815927	22890	0.0281	5e-04	0.148
D01	Antifungals for dermatological use	M03	Muscle relaxants	815175	14443	0.0177	5e-04	1.458
N07	Other nervous system drugs	R03	Drugs for obstructive airway diseases	813032	23539	0.029	5e-04	1.074
C05	Vasoprotectives	C08	Calcium channel blockers	808896	10192	0.0126	5e-04	1.389
G03	Sex hormones and modulators of the genital system	N07	Other nervous system drugs	806989	62561	0.0775	5e-04	0.459
D10	Anti-acne preparations	R06	Antihistamines for systemic use	799087	40098	0.0502	5e-04	0.747
A11	Vitamins	M05	Drugs for treatment of bone diseases	798271	66155	0.0829	5e-04	2.578
M02	Topical products for joint and muscular pain	S01	Ophthalmologicals	795526	22643	0.0285	5e-04	1.446
C03	Diuretics	J02	Antimycotics for systemic use	795032	14288	0.018	5e-04	0.777
D05	Antipsoriatics	N06	Psychoanaleptics	794259	26424	0.0333	5e-04	0.713
J05	Antivirals for systemic use	M03	Muscle relaxants	793212	24604	0.031	5e-04	0.823
D05	Antipsoriatics	H03	Thyroid therapy	791810	74338	0.0939	5e-04	1.864
D11	Other dermatological preparations	H03	Thyroid therapy	786640	31575	0.0401	5e-04	0.848
G01	Gynecological antiinfectives and antiseptics	M03	Muscle relaxants	782645	10664	0.0136	5e-04	0.943
A11	Vitamins	R06	Antihistamines for systemic use	779896	16916	0.0217	5e-04	1.061
C02	Antihypertensives	S01	Ophthalmologicals	776330	9280	0.012	5e-04	1.437
A04	Antiemetics and antinauseants	M01	Anti-inflammatory and antirheumatic products	772258	25846	0.0335	5e-04	1.54
A01	Stomatological preparations	L01	Antineoplastic agents	770149	171164	0.2222	5e-04	3.85
N04	Anti-parkinson drugs	S01	Ophthalmologicals	768519	13670	0.0178	5e-04	1.025
A10	Drugs used in diabetes	N07	Other nervous system drugs	763977	18870	0.0247	4e-04	0.623
C05	Vasoprotectives	G03	Sex hormones and modulators of the genital system	763637	79339	0.1039	4e-04	0.554
D07	Corticosteroids, dermatological preparations	M04	Antigout preparations	761587	14909	0.0196	4e-04	0.899
A04	Antiemetics and antinauseants	R01	Nasal preparations	759370	26885	0.0354	4e-04	1.069
C01	Cardiac therapy	L01	Antineoplastic agents	758080	6675	0.0088	4e-04	1.398
A02	Drugs for acid related disorders	J02	Antimycotics for systemic use	756477	35062	0.0463	4e-04	1.108
D11	Other dermatological preparations	R03	Drugs for obstructive airway diseases	754550	20247	0.0268	4e-04	0.877
A03	Drugs for functional gastrointestinal disorders	D07	Corticosteroids, dermatological preparations	753247	15805	0.021	4e-04	1.278
D10	Anti-acne preparations	N03	Antiepileptics	749963	29883	0.0398	4e-04	0.475
A08	Antiobesity preparations, excluding diet products	N06	Psychoanaleptics	746789	94202	0.1261	4e-04	0.96
A10	Drugs used in diabetes	C05	Vasoprotectives	740767	11379	0.0154	4e-04	0.771
C05	Vasoprotectives	H03	Thyroid therapy	739381	30443	0.0412	4e-04	1.156
H02	Corticosteroids for systemic use	N04	Anti-parkinson drugs	737820	10593	0.0144	4e-04	1.051
C08	Calcium channel blockers	D05	Antipsoriatics	726734	7021	0.0097	4e-04	1.879
A04	Antiemetics and antinauseants	R03	Drugs for obstructive airway diseases	725862	29505	0.0406	4e-04	0.822
C01	Cardiac therapy	S02	Otologicals	724659	6887	0.0095	4e-04	1.063
C08	Calcium channel blockers	H05	Calcium homeostasis	720214	8080	0.0112	4e-04	2.802
L02	Endocrine therapy	N03	Antiepileptics	718600	37489	0.0522	4e-04	1.072
C05	Vasoprotectives	R01	Nasal preparations	716601	39448	0.055	4e-04	1.502
A01	Stomatological preparations	H03	Thyroid therapy	710620	71292	0.1003	4e-04	0.539
H05	Calcium homeostasis	N06	Psychoanaleptics	700117	16307	0.0233	4e-04	0.946
D09	Medicated dressings	N06	Psychoanaleptics	699286	40520	0.0579	4e-04	0.57
C02	Antihypertensives	M01	Anti-inflammatory and antirheumatic products	697604	14600	0.0209	4e-04	0.886
A01	Stomatological preparations	R06	Antihistamines for systemic use	694489	60755	0.0875	4e-04	1.128
A11	Vitamins	S01	Ophthalmologicals	692956	16677	0.0241	4e-04	1.218
J02	Antimycotics for systemic use	R01	Nasal preparations	690099	68640	0.0995	4e-04	1.636
A02	Drugs for acid related disorders	D05	Antipsoriatics	688247	10032	0.0146	4e-04	1.341
G01	Gynecological antiinfectives and antiseptics	P01	Antiprotozoals	686554	68477	0.0997	4e-04	1.993
M03	Muscle relaxants	M04	Antigout preparations	683424	6884	0.0101	4e-04	0.9
G04	Urologicals	N07	Other nervous system drugs	670743	29231	0.0436	4e-04	1.684
D11	Other dermatological preparations	N03	Antiepileptics	667317	13977	0.0209	4e-04	1.042
M05	Drugs for treatment of bone diseases	P01	Antiprotozoals	667025	26026	0.039	4e-04	1.724
D01	Antifungals for dermatological use	J05	Antivirals for systemic use	667007	63398	0.095	4e-04	1.746
A06	Drugs for constipation	R01	Nasal preparations	664103	26153	0.0394	4e-04	1.065
C07	Beta blocking agents	J02	Antimycotics for systemic use	663193	14277	0.0215	4e-04	0.883
A03	Drugs for functional gastrointestinal disorders	C01	Cardiac therapy	660475	2826	0.0043	4e-04	1.658
N07	Other nervous system drugs	R01	Nasal preparations	660069	16427	0.0249	4e-04	1.084
A06	Drugs for constipation	R03	Drugs for obstructive airway diseases	656595	16926	0.0258	4e-04	0.847
A11	Vitamins	L04	Immunosuppressants	656416	27313	0.0416	4e-04	2.568
C01	Cardiac therapy	D11	Other dermatological preparations	649821	4895	0.0075	4e-04	3.12
L02	Endocrine therapy	R05	Cough and cold preparations	645086	1302	0.002	4e-04	0.861
G01	Gynecological antiinfectives and antiseptics	S02	Otologicals	642959	31881	0.0496	4e-04	1.208
J02	Antimycotics for systemic use	N05	Psycholeptics	642341	25618	0.0399	4e-04	0.971
H05	Calcium homeostasis	N02	Analgesics	640370	5438	0.0085	4e-04	1.654
L01	Antineoplastic agents	M04	Antigout preparations	640025	20656	0.0323	4e-04	1.654
B01	Antithrombotic agents	M02	Topical products for joint and muscular pain	638130	5332	0.0084	4e-04	1.001
A04	Antiemetics and antinauseants	A10	Drugs used in diabetes	636826	18726	0.0294	4e-04	0.445
D05	Antipsoriatics	J01	Antibacterials for systemic use	631882	73163	0.1158	4e-04	0.915
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	J05	Antivirals for systemic use	629404	29129	0.0463	4e-04	0.781
J01	Antibacterials for systemic use	J04	Antimycobacterials	628691	98568	0.1568	4e-04	1.889
C01	Cardiac therapy	L04	Immunosuppressants	624444	11413	0.0183	4e-04	1.076
A04	Antiemetics and antinauseants	H02	Corticosteroids for systemic use	622879	13016	0.0209	4e-04	1.934
A10	Drugs used in diabetes	D05	Antipsoriatics	620572	6204	0.01	4e-04	0.973
A06	Drugs for constipation	G04	Urologicals	620106	25852	0.0417	4e-04	1.521
M01	Anti-inflammatory and antirheumatic products	N07	Other nervous system drugs	618046	24868	0.0402	4e-04	1.437
L01	Antineoplastic agents	P01	Antiprotozoals	617831	25826	0.0418	4e-04	2.07
C02	Antihypertensives	R06	Antihistamines for systemic use	617110	10805	0.0175	4e-04	0.884
A04	Antiemetics and antinauseants	M03	Muscle relaxants	616780	6621	0.0107	4e-04	2.177
C07	Beta blocking agents	V03	All other therapeutic products	614972	4773	0.0078	4e-04	1.369
A12	Mineral supplements	C10	Lipid modifying agents	612319	21462	0.0351	4e-04	1.577
A01	Stomatological preparations	H02	Corticosteroids for systemic use	611878	71997	0.1177	4e-04	1.372
A01	Stomatological preparations	D07	Corticosteroids, dermatological preparations	611568	75149	0.1229	4e-04	1.397
D06	Antibiotics and chemotherapeutics for dermatological use	M03	Muscle relaxants	609922	13110	0.0215	4e-04	1.183
D10	Anti-acne preparations	H02	Corticosteroids for systemic use	607608	49991	0.0823	4e-04	0.784
D06	Antibiotics and chemotherapeutics for dermatological use	S02	Otologicals	607386	26324	0.0433	4e-04	1.839
B01	Antithrombotic agents	D06	Antibiotics and chemotherapeutics for dermatological use	605082	8031	0.0133	4e-04	0.835
C02	Antihypertensives	H02	Corticosteroids for systemic use	604978	5282	0.0087	4e-04	1.196
C03	Diuretics	D09	Medicated dressings	604251	9932	0.0164	4e-04	0.713
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M04	Antigout preparations	601586	7848	0.013	4e-04	0.948
J02	Antimycotics for systemic use	N02	Analgesics	598246	10030	0.0168	4e-04	0.772
A03	Drugs for functional gastrointestinal disorders	P01	Antiprotozoals	596699	12795	0.0214	4e-04	2.721
D07	Corticosteroids, dermatological preparations	M02	Topical products for joint and muscular pain	595614	19214	0.0323	4e-04	1.179
C05	Vasoprotectives	G04	Urologicals	594916	22249	0.0374	3e-04	1.907
C05	Vasoprotectives	D07	Corticosteroids, dermatological preparations	591228	59475	0.1006	3e-04	2.785
D10	Anti-acne preparations	M01	Anti-inflammatory and antirheumatic products	589982	45057	0.0764	3e-04	0.489
H03	Thyroid therapy	H05	Calcium homeostasis	587672	24789	0.0422	3e-04	2.082
A04	Antiemetics and antinauseants	S02	Otologicals	587329	31256	0.0532	3e-04	3.234
D05	Antipsoriatics	N02	Analgesics	586439	3497	0.006	3e-04	1.007
L04	Immunosuppressants	M04	Antigout preparations	585726	12334	0.0211	3e-04	1.414
A01	Stomatological preparations	N03	Antiepileptics	583346	33645	0.0577	3e-04	0.641
A11	Vitamins	D07	Corticosteroids, dermatological preparations	581400	22171	0.0381	3e-04	1.113
B01	Antithrombotic agents	C05	Vasoprotectives	580883	3762	0.0065	3e-04	2.169
M05	Drugs for treatment of bone diseases	S02	Otologicals	579338	21813	0.0377	3e-04	0.969
A04	Antiemetics and antinauseants	C08	Calcium channel blockers	579037	6285	0.0109	3e-04	0.668
L02	Endocrine therapy	R01	Nasal preparations	573304	24885	0.0434	3e-04	0.791
N03	Antiepileptics	V03	All other therapeutic products	570923	1422	0.0025	3e-04	2.446
C02	Antihypertensives	G03	Sex hormones and modulators of the genital system	568110	27270	0.048	3e-04	0.176
D09	Medicated dressings	N05	Psycholeptics	567604	17213	0.0303	3e-04	1.037
C10	Lipid modifying agents	V03	All other therapeutic products	566627	3504	0.0062	3e-04	0.663
L02	Endocrine therapy	R03	Drugs for obstructive airway diseases	566223	19368	0.0342	3e-04	0.628
A01	Stomatological preparations	C07	Beta blocking agents	566197	21635	0.0382	3e-04	0.323
J05	Antivirals for systemic use	L04	Immunosuppressants	566153	28334	0.05	3e-04	1.077
M05	Drugs for treatment of bone diseases	N04	Anti-parkinson drugs	564858	18593	0.0329	3e-04	1.384
A08	Antiobesity preparations, excluding diet products	C03	Diuretics	564288	41365	0.0733	3e-04	1.051
C02	Antihypertensives	D11	Other dermatological preparations	563025	39705	0.0705	3e-04	6.461
