atc_A	atc_class_name_A	atc_B	atc_class_name_B	atc_C	atc_class_name_C	atleast_exposure_count	exact_exposure_count	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
C10	Lipid modifying agents	M02	Topical products for joint and muscular pain	R06	Antihistamines for systemic use	335553	3285	0.0098	2e-04	1.931	1.46
A03	Drugs for functional gastrointestinal disorders	C10	Lipid modifying agents	S01	Ophthalmologicals	335435	1401	0.0042	2e-04	2.139	1.389
C10	Lipid modifying agents	D06	Antibiotics and chemotherapeutics for dermatological use	G04	Urologicals	335397	9768	0.0291	2e-04	1.624	1.063
B01	Antithrombotic agents	C09	Agents acting on the renin-angiotensin system	M02	Topical products for joint and muscular pain	335236	1013	0.003	2e-04	2.456	1.123
G03	Sex hormones and modulators of the genital system	L04	Immunosuppressants	N03	Antiepileptics	335172	5524	0.0165	2e-04	0.901	0.734
C07	Beta blocking agents	L01	Antineoplastic agents	R06	Antihistamines for systemic use	334764	1488	0.0044	2e-04	2.308	1.62
M01	Anti-inflammatory and antirheumatic products	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	334557	5660	0.0169	2e-04	1.791	1.448
C05	Vasoprotectives	C10	Lipid modifying agents	N02	Analgesics	334541	786	0.0023	2e-04	1.56	1.402
C07	Beta blocking agents	L04	Immunosuppressants	M05	Drugs for treatment of bone diseases	334202	3838	0.0115	2e-04	5.111	1.896
A02	Drugs for acid related disorders	C07	Beta blocking agents	H05	Calcium homeostasis	334167	2188	0.0065	2e-04	7.624	2.984
C03	Diuretics	D07	Corticosteroids, dermatological preparations	M04	Antigout preparations	334118	913	0.0027	2e-04	2.253	1.116
A02	Drugs for acid related disorders	D07	Corticosteroids, dermatological preparations	L04	Immunosuppressants	334083	5672	0.017	2e-04	3.33	2.048
G01	Gynecological antiinfectives and antiseptics	J01	Antibacterials for systemic use	S01	Ophthalmologicals	334069	9238	0.0277	2e-04	2.107	1.72
A10	Drugs used in diabetes	C02	Antihypertensives	J01	Antibacterials for systemic use	334061	2357	0.0071	2e-04	0.945	0.646
G01	Gynecological antiinfectives and antiseptics	M03	Muscle relaxants	N06	Psychoanaleptics	333775	2141	0.0064	2e-04	1.584	1.164
N04	Anti-parkinson drugs	N05	Psycholeptics	R06	Antihistamines for systemic use	333719	2218	0.0066	2e-04	3.044	1.772
C09	Agents acting on the renin-angiotensin system	L01	Antineoplastic agents	M04	Antigout preparations	333650	4723	0.0142	2e-04	4.026	1.842
L04	Immunosuppressants	N02	Analgesics	S01	Ophthalmologicals	333553	1869	0.0056	2e-04	2.69	1.812
M03	Muscle relaxants	R01	Nasal preparations	S01	Ophthalmologicals	333297	1845	0.0055	2e-04	2.696	2.092
A10	Drugs used in diabetes	N03	Antiepileptics	S02	Otologicals	333146	1704	0.0051	2e-04	1.094	1.213
C01	Cardiac therapy	C09	Agents acting on the renin-angiotensin system	S02	Otologicals	333120	901	0.0027	2e-04	2.281	1.162
A10	Drugs used in diabetes	S01	Ophthalmologicals	S02	Otologicals	333098	4164	0.0125	2e-04	2.088	0.951
A10	Drugs used in diabetes	C03	Diuretics	D05	Antipsoriatics	332979	1070	0.0032	2e-04	2.981	2.159
H02	Corticosteroids for systemic use	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	332958	3096	0.0093	2e-04	2.776	1.697
A02	Drugs for acid related disorders	M04	Antigout preparations	R06	Antihistamines for systemic use	332913	2138	0.0064	2e-04	2.391	1.55
A03	Drugs for functional gastrointestinal disorders	C08	Calcium channel blockers	J01	Antibacterials for systemic use	332901	1064	0.0032	2e-04	1.309	1.097
C01	Cardiac therapy	C07	Beta blocking agents	L04	Immunosuppressants	332886	2237	0.0067	2e-04	4.462	1.175
H03	Thyroid therapy	N03	Antiepileptics	S02	Otologicals	332796	2933	0.0088	2e-04	1.64	1.408
M03	Muscle relaxants	N05	Psycholeptics	P01	Antiprotozoals	332795	2037	0.0061	2e-04	5.022	2.174
A06	Drugs for constipation	J01	Antibacterials for systemic use	N02	Analgesics	332461	3239	0.0097	2e-04	1.844	1.271
A06	Drugs for constipation	C07	Beta blocking agents	N05	Psycholeptics	332387	2431	0.0073	2e-04	2.646	1.731
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	L01	Antineoplastic agents	N06	Psychoanaleptics	332257	10819	0.0326	2e-04	2.178	1.165
A10	Drugs used in diabetes	A11	Vitamins	B01	Antithrombotic agents	331996	1313	0.004	2e-04	3.466	2.294
D07	Corticosteroids, dermatological preparations	N05	Psycholeptics	S02	Otologicals	331810	9473	0.0285	2e-04	2.907	0.823
D01	Antifungals for dermatological use	G03	Sex hormones and modulators of the genital system	N03	Antiepileptics	331672	8792	0.0265	2e-04	1.227	1.115
C10	Lipid modifying agents	L04	Immunosuppressants	R06	Antihistamines for systemic use	331322	2672	0.0081	2e-04	1.122	1.233
C08	Calcium channel blockers	G04	Urologicals	N04	Anti-parkinson drugs	331293	2607	0.0079	2e-04	3.715	2.065
C10	Lipid modifying agents	D01	Antifungals for dermatological use	N03	Antiepileptics	331017	2211	0.0067	2e-04	1.045	0.949
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D06	Antibiotics and chemotherapeutics for dermatological use	G03	Sex hormones and modulators of the genital system	330972	3572	0.0108	2e-04	3.682	0.392
G03	Sex hormones and modulators of the genital system	J05	Antivirals for systemic use	N03	Antiepileptics	330945	14547	0.044	2e-04	0.71	0.926
C03	Diuretics	L04	Immunosuppressants	M05	Drugs for treatment of bone diseases	330941	2772	0.0084	2e-04	3.715	1.378
M03	Muscle relaxants	N05	Psycholeptics	S02	Otologicals	330867	2203	0.0067	2e-04	3.233	1.399
C09	Agents acting on the renin-angiotensin system	D07	Corticosteroids, dermatological preparations	L01	Antineoplastic agents	330790	2039	0.0062	2e-04	1.926	1.316
C08	Calcium channel blockers	N06	Psychoanaleptics	N07	Other nervous system drugs	330767	3489	0.0105	2e-04	1.753	1.231
H03	Thyroid therapy	J05	Antivirals for systemic use	N02	Analgesics	330458	4518	0.0137	2e-04	0.769	0.923
G01	Gynecological antiinfectives and antiseptics	L01	Antineoplastic agents	N06	Psychoanaleptics	329905	25476	0.0772	2e-04	3.072	0.619
A02	Drugs for acid related disorders	M03	Muscle relaxants	M05	Drugs for treatment of bone diseases	329798	1924	0.0058	2e-04	3.026	1.815
C01	Cardiac therapy	M03	Muscle relaxants	N03	Antiepileptics	329714	1376	0.0042	2e-04	4.64	1.52
C08	Calcium channel blockers	J05	Antivirals for systemic use	N06	Psychoanaleptics	329476	6499	0.0197	2e-04	0.44	0.611
A03	Drugs for functional gastrointestinal disorders	N03	Antiepileptics	R01	Nasal preparations	329368	1168	0.0035	2e-04	3.725	1.764
C02	Antihypertensives	C10	Lipid modifying agents	M01	Anti-inflammatory and antirheumatic products	329359	4823	0.0146	2e-04	1.71	1.071
C08	Calcium channel blockers	G01	Gynecological antiinfectives and antiseptics	J01	Antibacterials for systemic use	329314	2997	0.0091	2e-04	0.824	0.673
C08	Calcium channel blockers	M04	Antigout preparations	S01	Ophthalmologicals	329311	1597	0.0048	2e-04	4.055	1.568
A02	Drugs for acid related disorders	L01	Antineoplastic agents	M05	Drugs for treatment of bone diseases	329303	5528	0.0168	2e-04	5.928	2.841
G01	Gynecological antiinfectives and antiseptics	N05	Psycholeptics	R03	Drugs for obstructive airway diseases	329244	1798	0.0055	2e-04	1.125	1.32
D01	Antifungals for dermatological use	R03	Drugs for obstructive airway diseases	R05	Cough and cold preparations	329109	597	0.0018	2e-04	2.531	1.795
A02	Drugs for acid related disorders	P01	Antiprotozoals	S02	Otologicals	328963	13964	0.0424	2e-04	7.5	1.624
A02	Drugs for acid related disorders	C08	Calcium channel blockers	J05	Antivirals for systemic use	328904	3938	0.012	2e-04	0.954	0.618
A02	Drugs for acid related disorders	G01	Gynecological antiinfectives and antiseptics	H02	Corticosteroids for systemic use	328888	4279	0.013	2e-04	2.982	1.754
D06	Antibiotics and chemotherapeutics for dermatological use	N06	Psychoanaleptics	R03	Drugs for obstructive airway diseases	328829	6677	0.0203	2e-04	0.807	1.074
H02	Corticosteroids for systemic use	H03	Thyroid therapy	P01	Antiprotozoals	328765	8748	0.0266	2e-04	5.105	1.65
A11	Vitamins	C10	Lipid modifying agents	M05	Drugs for treatment of bone diseases	328748	18657	0.0568	2e-04	4.342	1.684
C03	Diuretics	H02	Corticosteroids for systemic use	L01	Antineoplastic agents	328723	1406	0.0043	2e-04	2.297	1.445
D07	Corticosteroids, dermatological preparations	L04	Immunosuppressants	N06	Psychoanaleptics	328697	9276	0.0282	2e-04	1.509	0.958
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D07	Corticosteroids, dermatological preparations	H03	Thyroid therapy	328514	2662	0.0081	2e-04	2.58	1.143
C09	Agents acting on the renin-angiotensin system	D07	Corticosteroids, dermatological preparations	L04	Immunosuppressants	328149	4331	0.0132	2e-04	1.785	1.133
B01	Antithrombotic agents	C07	Beta blocking agents	M02	Topical products for joint and muscular pain	328134	1667	0.0051	2e-04	4.005	1.032
C03	Diuretics	G04	Urologicals	M02	Topical products for joint and muscular pain	327947	1714	0.0052	2e-04	2.522	1.717
D10	Anti-acne preparations	G01	Gynecological antiinfectives and antiseptics	R01	Nasal preparations	327917	40817	0.1245	2e-04	11.322	0.821
B01	Antithrombotic agents	C08	Calcium channel blockers	D11	Other dermatological preparations	327819	1793	0.0055	2e-04	9.575	3.03
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	J01	Antibacterials for systemic use	M03	Muscle relaxants	327693	1828	0.0056	2e-04	1.766	1.304
M05	Drugs for treatment of bone diseases	N02	Analgesics	S01	Ophthalmologicals	327664	1681	0.0051	2e-04	2.181	1.357
A04	Antiemetics and antinauseants	M01	Anti-inflammatory and antirheumatic products	R05	Cough and cold preparations	327507	1650	0.005	2e-04	8.747	2.992
D01	Antifungals for dermatological use	N05	Psycholeptics	R06	Antihistamines for systemic use	327502	1983	0.0061	2e-04	3.3	2.186
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	M05	Drugs for treatment of bone diseases	R03	Drugs for obstructive airway diseases	327439	9814	0.03	2e-04	4.68	1.398
A03	Drugs for functional gastrointestinal disorders	A10	Drugs used in diabetes	B01	Antithrombotic agents	327159	523	0.0016	2e-04	3.029	2.025
C01	Cardiac therapy	M04	Antigout preparations	R05	Cough and cold preparations	327116	121	4e-04	2e-04	7.652	1.723
C03	Diuretics	L02	Endocrine therapy	N02	Analgesics	326973	1906	0.0058	2e-04	1.401	1.18
C10	Lipid modifying agents	G01	Gynecological antiinfectives and antiseptics	H02	Corticosteroids for systemic use	326968	4369	0.0134	2e-04	1.417	0.834
C01	Cardiac therapy	H03	Thyroid therapy	M05	Drugs for treatment of bone diseases	326900	2689	0.0082	2e-04	4.803	2.426
A02	Drugs for acid related disorders	G01	Gynecological antiinfectives and antiseptics	R06	Antihistamines for systemic use	326636	2680	0.0082	2e-04	2.146	1.436
D01	Antifungals for dermatological use	G03	Sex hormones and modulators of the genital system	R03	Drugs for obstructive airway diseases	326263	9847	0.0302	2e-04	0.898	1.015
A10	Drugs used in diabetes	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	326217	2091	0.0064	2e-04	0.613	0.593
G04	Urologicals	H02	Corticosteroids for systemic use	L04	Immunosuppressants	326126	4496	0.0138	2e-04	7.898	1.506
G04	Urologicals	M05	Drugs for treatment of bone diseases	N05	Psycholeptics	326012	3631	0.0111	2e-04	1.885	1.472
B01	Antithrombotic agents	J01	Antibacterials for systemic use	S02	Otologicals	326001	2277	0.007	2e-04	1.629	0.947
J01	Antibacterials for systemic use	M05	Drugs for treatment of bone diseases	N03	Antiepileptics	325949	3591	0.011	2e-04	0.958	0.863
M01	Anti-inflammatory and antirheumatic products	N05	Psycholeptics	P01	Antiprotozoals	325768	4675	0.0144	2e-04	2.778	1.558
G04	Urologicals	L01	Antineoplastic agents	N03	Antiepileptics	325618	2639	0.0081	2e-04	4.137	2.406
A04	Antiemetics and antinauseants	C09	Agents acting on the renin-angiotensin system	R05	Cough and cold preparations	325600	<100	 	2e-04	2.07	0.708
C10	Lipid modifying agents	H03	Thyroid therapy	N07	Other nervous system drugs	325411	8355	0.0257	2e-04	1.63	1.379
C02	Antihypertensives	C03	Diuretics	M01	Anti-inflammatory and antirheumatic products	325346	2297	0.0071	2e-04	2.358	1.101
A10	Drugs used in diabetes	D07	Corticosteroids, dermatological preparations	G03	Sex hormones and modulators of the genital system	325279	8872	0.0273	2e-04	0.196	0.398
C05	Vasoprotectives	N02	Analgesics	N05	Psycholeptics	325162	1651	0.0051	2e-04	3.276	1.988
A10	Drugs used in diabetes	M04	Antigout preparations	S01	Ophthalmologicals	325089	1181	0.0036	2e-04	2.427	1.649
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	N02	Analgesics	S02	Otologicals	324965	758	0.0023	2e-04	3.239	1.413
B01	Antithrombotic agents	C01	Cardiac therapy	L01	Antineoplastic agents	324940	1775	0.0055	2e-04	14.786	1.704
G03	Sex hormones and modulators of the genital system	L01	Antineoplastic agents	R03	Drugs for obstructive airway diseases	324740	5428	0.0167	2e-04	0.695	0.764
G04	Urologicals	R06	Antihistamines for systemic use	S01	Ophthalmologicals	324514	2761	0.0085	2e-04	2.558	1.186
C09	Agents acting on the renin-angiotensin system	D06	Antibiotics and chemotherapeutics for dermatological use	D07	Corticosteroids, dermatological preparations	324476	1287	0.004	2e-04	2.636	0.883
C01	Cardiac therapy	M05	Drugs for treatment of bone diseases	N06	Psychoanaleptics	324340	1960	0.006	2e-04	1.817	1.104
A02	Drugs for acid related disorders	A06	Drugs for constipation	J01	Antibacterials for systemic use	324315	10480	0.0323	2e-04	2.042	1.01
A02	Drugs for acid related disorders	A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	S02	Otologicals	324229	4165	0.0128	2e-04	3.67	1.601
C10	Lipid modifying agents	G04	Urologicals	P01	Antiprotozoals	323792	5230	0.0162	2e-04	1.38	0.903
A11	Vitamins	C03	Diuretics	M01	Anti-inflammatory and antirheumatic products	323691	3491	0.0108	2e-04	2.229	1.617
C10	Lipid modifying agents	L01	Antineoplastic agents	M04	Antigout preparations	323670	5390	0.0167	2e-04	3.421	1.871
A02	Drugs for acid related disorders	D06	Antibiotics and chemotherapeutics for dermatological use	R01	Nasal preparations	323623	5801	0.0179	2e-04	2.143	1.658
A02	Drugs for acid related disorders	D06	Antibiotics and chemotherapeutics for dermatological use	G03	Sex hormones and modulators of the genital system	323564	13369	0.0413	2e-04	0.742	0.691
C10	Lipid modifying agents	D01	Antifungals for dermatological use	R03	Drugs for obstructive airway diseases	323544	1803	0.0056	2e-04	0.76	0.885
C07	Beta blocking agents	G01	Gynecological antiinfectives and antiseptics	N03	Antiepileptics	323367	1355	0.0042	2e-04	1.307	1.114
M01	Anti-inflammatory and antirheumatic products	M04	Antigout preparations	N06	Psychoanaleptics	323339	5335	0.0165	2e-04	0.948	0.776
A02	Drugs for acid related disorders	C08	Calcium channel blockers	D06	Antibiotics and chemotherapeutics for dermatological use	323267	2406	0.0074	2e-04	1.754	1.136
C01	Cardiac therapy	C10	Lipid modifying agents	L04	Immunosuppressants	323194	1594	0.0049	2e-04	2.278	1.162
H03	Thyroid therapy	N04	Anti-parkinson drugs	R03	Drugs for obstructive airway diseases	323178	2002	0.0062	2e-04	1.736	1.425
A01	Stomatological preparations	N03	Antiepileptics	N06	Psychoanaleptics	323084	24410	0.0756	2e-04	1.399	0.882
G04	Urologicals	H03	Thyroid therapy	N04	Anti-parkinson drugs	323070	4260	0.0132	2e-04	3.298	1.834
C03	Diuretics	J05	Antivirals for systemic use	R05	Cough and cold preparations	322975	453	0.0014	2e-04	0.738	0.742
A10	Drugs used in diabetes	J05	Antivirals for systemic use	N06	Psychoanaleptics	322957	7788	0.0241	2e-04	0.262	0.436
M05	Drugs for treatment of bone diseases	R03	Drugs for obstructive airway diseases	R05	Cough and cold preparations	322922	388	0.0012	2e-04	1.489	1.47
A02	Drugs for acid related disorders	M01	Anti-inflammatory and antirheumatic products	M02	Topical products for joint and muscular pain	322894	10582	0.0328	2e-04	3.446	1.513
D06	Antibiotics and chemotherapeutics for dermatological use	J01	Antibacterials for systemic use	R06	Antihistamines for systemic use	322861	5410	0.0168	2e-04	2.538	1.633
D01	Antifungals for dermatological use	G03	Sex hormones and modulators of the genital system	R06	Antihistamines for systemic use	322824	8247	0.0255	2e-04	1.765	1.169
C09	Agents acting on the renin-angiotensin system	D07	Corticosteroids, dermatological preparations	M05	Drugs for treatment of bone diseases	322484	3490	0.0108	2e-04	1.448	1.133
J01	Antibacterials for systemic use	N04	Anti-parkinson drugs	R03	Drugs for obstructive airway diseases	322478	2426	0.0075	2e-04	1.065	1.153
D06	Antibiotics and chemotherapeutics for dermatological use	D07	Corticosteroids, dermatological preparations	N06	Psychoanaleptics	322397	4725	0.0147	2e-04	2.21	0.74
C02	Antihypertensives	N06	Psychoanaleptics	R01	Nasal preparations	322212	14830	0.046	2e-04	1.138	1.131
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D06	Antibiotics and chemotherapeutics for dermatological use	H03	Thyroid therapy	322167	1468	0.0046	2e-04	7.725	0.822
P01	Antiprotozoals	R05	Cough and cold preparations	S02	Otologicals	322065	305	9e-04	2e-04	11.496	2.49
D01	Antifungals for dermatological use	G04	Urologicals	J01	Antibacterials for systemic use	321887	26279	0.0816	2e-04	2.233	1.273
G03	Sex hormones and modulators of the genital system	M05	Drugs for treatment of bone diseases	N03	Antiepileptics	321770	11601	0.0361	2e-04	0.714	0.642
A06	Drugs for constipation	C10	Lipid modifying agents	N03	Antiepileptics	321761	2636	0.0082	2e-04	2.282	1.347
D11	Other dermatological preparations	G04	Urologicals	R01	Nasal preparations	321694	8373	0.026	2e-04	9.843	1.314
D11	Other dermatological preparations	G04	Urologicals	H03	Thyroid therapy	321675	12689	0.0394	2e-04	7.342	0.98
C08	Calcium channel blockers	M02	Topical products for joint and muscular pain	R05	Cough and cold preparations	321666	<100	 	2e-04	3.109	1.531
A10	Drugs used in diabetes	A11	Vitamins	J01	Antibacterials for systemic use	321616	4708	0.0146	2e-04	0.865	0.742
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D01	Antifungals for dermatological use	N06	Psychoanaleptics	321543	4475	0.0139	2e-04	2.711	1.042
A10	Drugs used in diabetes	G03	Sex hormones and modulators of the genital system	H02	Corticosteroids for systemic use	321438	4352	0.0135	2e-04	0.191	0.377
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	H02	Corticosteroids for systemic use	S02	Otologicals	321285	2997	0.0093	2e-04	12.984	3.211
C09	Agents acting on the renin-angiotensin system	D01	Antifungals for dermatological use	R03	Drugs for obstructive airway diseases	320890	1132	0.0035	2e-04	0.86	1.002
A02	Drugs for acid related disorders	G01	Gynecological antiinfectives and antiseptics	M01	Anti-inflammatory and antirheumatic products	320850	4979	0.0155	2e-04	1.868	1.304
A06	Drugs for constipation	J01	Antibacterials for systemic use	N06	Psychoanaleptics	320834	6204	0.0193	2e-04	0.93	0.955
A02	Drugs for acid related disorders	A11	Vitamins	M01	Anti-inflammatory and antirheumatic products	320789	6428	0.02	2e-04	3.31	2.031
M05	Drugs for treatment of bone diseases	N03	Antiepileptics	R03	Drugs for obstructive airway diseases	320566	1802	0.0056	2e-04	1.652	1.487
D09	Medicated dressings	N02	Analgesics	N06	Psychoanaleptics	320408	2718	0.0085	2e-04	1.966	0.727
C03	Diuretics	G01	Gynecological antiinfectives and antiseptics	M01	Anti-inflammatory and antirheumatic products	320333	2320	0.0072	2e-04	1.245	1.008
C02	Antihypertensives	N05	Psycholeptics	R05	Cough and cold preparations	320291	<100	 	2e-04	2.453	1.428
C10	Lipid modifying agents	L04	Immunosuppressants	M03	Muscle relaxants	320265	1594	0.005	2e-04	1.702	1.158
L01	Antineoplastic agents	M01	Anti-inflammatory and antirheumatic products	N02	Analgesics	320181	5252	0.0164	2e-04	1.896	0.897
A11	Vitamins	B01	Antithrombotic agents	N06	Psychoanaleptics	320060	1814	0.0057	2e-04	1.913	1.266
C08	Calcium channel blockers	N05	Psycholeptics	P01	Antiprotozoals	320045	1767	0.0055	2e-04	1.579	1.448
H03	Thyroid therapy	J01	Antibacterials for systemic use	M04	Antigout preparations	320011	2594	0.0081	2e-04	0.797	0.714
J05	Antivirals for systemic use	M01	Anti-inflammatory and antirheumatic products	R05	Cough and cold preparations	319850	6005	0.0188	2e-04	2.511	0.983
A02	Drugs for acid related disorders	A04	Antiemetics and antinauseants	R06	Antihistamines for systemic use	319843	9001	0.0281	2e-04	6.155	2.407
A04	Antiemetics and antinauseants	G03	Sex hormones and modulators of the genital system	N05	Psycholeptics	319842	6792	0.0212	2e-04	1.377	0.723
D01	Antifungals for dermatological use	M01	Anti-inflammatory and antirheumatic products	R05	Cough and cold preparations	319743	1286	0.004	2e-04	4.329	1.694
A02	Drugs for acid related disorders	C01	Cardiac therapy	N04	Anti-parkinson drugs	319643	850	0.0027	2e-04	5.872	3.097
A10	Drugs used in diabetes	D07	Corticosteroids, dermatological preparations	M01	Anti-inflammatory and antirheumatic products	319581	2518	0.0079	2e-04	0.79	0.815
D01	Antifungals for dermatological use	M03	Muscle relaxants	N05	Psycholeptics	319491	2015	0.0063	2e-04	5.05	2.185
H02	Corticosteroids for systemic use	J05	Antivirals for systemic use	N06	Psychoanaleptics	319459	7765	0.0243	2e-04	1.149	1.018
A10	Drugs used in diabetes	N06	Psychoanaleptics	N07	Other nervous system drugs	319436	4078	0.0128	2e-04	1.026	0.721
L04	Immunosuppressants	N05	Psycholeptics	P01	Antiprotozoals	319291	4210	0.0132	2e-04	8.833	1.384
A10	Drugs used in diabetes	C02	Antihypertensives	R05	Cough and cold preparations	318950	<100	 	2e-04	1.902	1.301
A10	Drugs used in diabetes	D06	Antibiotics and chemotherapeutics for dermatological use	N06	Psychoanaleptics	318909	3880	0.0122	2e-04	0.483	0.643
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	B01	Antithrombotic agents	N03	Antiepileptics	318800	513	0.0016	2e-04	2.877	1.996
D07	Corticosteroids, dermatological preparations	G04	Urologicals	N03	Antiepileptics	318789	2103	0.0066	2e-04	1.851	1.522
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	D07	Corticosteroids, dermatological preparations	R05	Cough and cold preparations	318781	185	6e-04	2e-04	3.246	1.437
H03	Thyroid therapy	J01	Antibacterials for systemic use	J05	Antivirals for systemic use	318742	16798	0.0527	2e-04	0.625	0.821
N03	Antiepileptics	N06	Psychoanaleptics	V03	All other therapeutic products	318665	182	6e-04	2e-04	5.379	2.199
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C10	Lipid modifying agents	L01	Antineoplastic agents	318582	6803	0.0214	2e-04	2.167	1.159
C01	Cardiac therapy	C03	Diuretics	S02	Otologicals	318570	619	0.0019	2e-04	2.668	1.312
N03	Antiepileptics	N07	Other nervous system drugs	R05	Cough and cold preparations	318484	<100	 	2e-04	7.571	2.78
G04	Urologicals	H03	Thyroid therapy	L01	Antineoplastic agents	318471	4772	0.015	2e-04	2.792	1.624
J05	Antivirals for systemic use	N02	Analgesics	R06	Antihistamines for systemic use	318081	2674	0.0084	2e-04	1.585	1.295
C03	Diuretics	L02	Endocrine therapy	N05	Psycholeptics	318006	3968	0.0125	2e-04	1.598	1.345
C02	Antihypertensives	C08	Calcium channel blockers	S01	Ophthalmologicals	318000	1659	0.0052	2e-04	6.678	1.962
C10	Lipid modifying agents	J05	Antivirals for systemic use	R03	Drugs for obstructive airway diseases	317976	5575	0.0175	2e-04	0.433	0.683
B01	Antithrombotic agents	D07	Corticosteroids, dermatological preparations	G04	Urologicals	317784	1223	0.0038	2e-04	3.041	1.281
C08	Calcium channel blockers	D01	Antifungals for dermatological use	J01	Antibacterials for systemic use	317762	3966	0.0125	2e-04	1.181	0.673
G04	Urologicals	J01	Antibacterials for systemic use	M04	Antigout preparations	317708	2818	0.0089	2e-04	1.623	0.723
L01	Antineoplastic agents	M05	Drugs for treatment of bone diseases	N06	Psychoanaleptics	317656	6608	0.0208	2e-04	2.633	1.262
N07	Other nervous system drugs	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	317611	15692	0.0494	2e-04	5.809	1.6
G03	Sex hormones and modulators of the genital system	M05	Drugs for treatment of bone diseases	R03	Drugs for obstructive airway diseases	317463	8788	0.0277	2e-04	0.524	0.579
A07	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	C01	Cardiac therapy	C08	Calcium channel blockers	317309	949	0.003	2e-04	4.048	1.528
C01	Cardiac therapy	R03	Drugs for obstructive airway diseases	S01	Ophthalmologicals	317208	599	0.0019	2e-04	2.736	1.798
A04	Antiemetics and antinauseants	N02	Analgesics	R03	Drugs for obstructive airway diseases	317093	1650	0.0052	2e-04	2.706	0.97
A04	Antiemetics and antinauseants	M03	Muscle relaxants	N06	Psychoanaleptics	317069	1464	0.0046	2e-04	4.408	2.025
C10	Lipid modifying agents	N04	Anti-parkinson drugs	S01	Ophthalmologicals	316996	2447	0.0077	2e-04	1.73	1.687
C08	Calcium channel blockers	M01	Anti-inflammatory and antirheumatic products	M05	Drugs for treatment of bone diseases	316935	4011	0.0127	2e-04	2.18	1.347
D11	Other dermatological preparations	R01	Nasal preparations	R03	Drugs for obstructive airway diseases	316797	12455	0.0393	2e-04	5.099	1.405
G01	Gynecological antiinfectives and antiseptics	R03	Drugs for obstructive airway diseases	R05	Cough and cold preparations	316698	587	0.0019	2e-04	1.64	1.013
D11	Other dermatological preparations	G04	Urologicals	R03	Drugs for obstructive airway diseases	316652	4869	0.0154	2e-04	7.793	1.04
C03	Diuretics	N03	Antiepileptics	N07	Other nervous system drugs	316647	946	0.003	2e-04	3.209	1.178
C03	Diuretics	D01	Antifungals for dermatological use	R03	Drugs for obstructive airway diseases	316568	956	0.003	2e-04	1.038	1.208
A10	Drugs used in diabetes	G01	Gynecological antiinfectives and antiseptics	H03	Thyroid therapy	316557	4253	0.0134	2e-04	0.781	0.964
J05	Antivirals for systemic use	N02	Analgesics	R01	Nasal preparations	316537	2694	0.0085	2e-04	0.987	1.248
C07	Beta blocking agents	G01	Gynecological antiinfectives and antiseptics	R01	Nasal preparations	316495	1956	0.0062	2e-04	1.183	0.96
A02	Drugs for acid related disorders	C08	Calcium channel blockers	D01	Antifungals for dermatological use	316463	2050	0.0065	2e-04	1.583	1.026
A10	Drugs used in diabetes	G01	Gynecological antiinfectives and antiseptics	N05	Psycholeptics	316163	1320	0.0042	2e-04	0.667	0.783
C03	Diuretics	H03	Thyroid therapy	J05	Antivirals for systemic use	316062	7418	0.0235	2e-04	0.557	0.468
C07	Beta blocking agents	N04	Anti-parkinson drugs	R01	Nasal preparations	316049	1098	0.0035	2e-04	1.589	1.312
D10	Anti-acne preparations	N02	Analgesics	N05	Psycholeptics	316015	2904	0.0092	2e-04	0.889	0.54
D10	Anti-acne preparations	J01	Antibacterials for systemic use	L01	Antineoplastic agents	315904	37135	0.1176	2e-04	5.778	1.727
A03	Drugs for functional gastrointestinal disorders	G03	Sex hormones and modulators of the genital system	R01	Nasal preparations	315899	6362	0.0201	2e-04	1.144	0.877
B01	Antithrombotic agents	C02	Antihypertensives	H03	Thyroid therapy	315775	1196	0.0038	2e-04	5.21	1.633
C08	Calcium channel blockers	M03	Muscle relaxants	S01	Ophthalmologicals	315775	1007	0.0032	2e-04	2.092	1.592
C08	Calcium channel blockers	J01	Antibacterials for systemic use	P01	Antiprotozoals	315488	3980	0.0126	2e-04	1.119	0.982
