drug_concept_name	rxcui	atc	atc_class_name	drug_cost_per_day	UMLS_CUI	DrugBankID
cyclosporine	3008	L04AD01	Immunosuppressants	7.84	C0010592	DB00091
cyclothiazide	22033	C03AA09	Diuretics	NA	C0056831	DB00606
cyproheptadine	3013	R06AX02	Antihistamines for systemic use	0.59	C0010620	DB00434
cyproterone	3014	G03HA01	Sex hormones and modulators of the genital system	NA	C0010621	NA
cytarabine	3041	L01BC01	Antineoplastic agents	14.66	C0010711	DB00987
dabigatran etexilate	1037042	B01AE07	Antithrombotic agents	7.74	C1571583	DB06695
dacarbazine	3098	L01AX04	Antineoplastic agents	14.66	C0010927	DB00851
daclizumab	190353	L04AC01	Immunosuppressants	351.43	C0663182	DB00111
dactinomycin	3100	L01DA01	Antineoplastic agents	654.64	C0010934	DB00970
dalfampridine	897018	N07XX07	Other nervous system drugs	42.77	C0000477	DB06637
dalteparin	67109	B01AB04	Antithrombotic agents	64.56	C0206461	DB06779
danazol	3102	G03XA01	Sex hormones and modulators of the genital system	5.85	C0010961	DB01406
dantrolene	3105	M03CA01	Muscle relaxants	3.58	C0010976	DB01219
dapagliflozin	1488564	A10BX09	Drugs used in diabetes	10.15	C2353951	DB06292
dapiprazole	22298	S01EX02	Ophthalmologicals	NA	C0057143	DB00298
dapsone	3108	J04BA02	Antimycobacterials	8.26	C0010980	DB00250
daptomycin	22299	J01XX09	Antibacterials for systemic use	302.74	C0057144	DB00080
darbepoetin alfa	283838	B03XA02	Antianemic preparations	65.94	C0937950	DB00012
darifenacin	136198	G04BD10	Urologicals	4.22	C0529351	DB00496
darunavir	460132	J05AE10	Antivirals for systemic use	32.49	C1435444	DB01264
dasatinib	475342	L01XE06	Antineoplastic agents	236.69	C1455147	DB01254
daunorubicin	3109	L01DB02	Antineoplastic agents	90.4	C0011015	DB00694
decitabine	15657	L01BC08	Antineoplastic agents	557.07	C0049065	DB01262
deferasirox	614373	V03AC03	All other therapeutic products	162.11	C1619629	DB01609
deferoxamine	3131	V03AC01	All other therapeutic products	29.34	C0011145	DB00746
degarelix	475230	L02BX02	Endocrine therapy	47.62	C1455035	DB06699
delavirdine	83816	J05AG02	Antivirals for systemic use	8.8	C0288165	DB00705
demecarium	107771	S01EB04	Ophthalmologicals	NA	C0360174	DB00944
demeclocycline	3154	J01AA01	Antibacterials for systemic use	17.64	C0011276	DB00618
denileukin diftitox	214470	L01XX29	Antineoplastic agents	1339.55	C0717670	DB00004
denosumab	993449	M05BX04	Drugs for treatment of bone diseases	52.52	C1690432	DB06643
deserpidine	62174	C02AA05	Antihypertensives	NA	C0175158	DB01089
desflurane	27340	N01AB07	Anesthetics	NA	C0063252	DB01189
desipramine	3247	N06AA01	Psychoanaleptics	2.04	C0011685	DB01151
deslanoside	3248	C01AA07	Cardiac therapy	NA	C0011689	DB01078
desloratadine	275635	R06AX27	Antihistamines for systemic use	3.33	C0908935	DB00967
desmopressin	3251	H01BA02	Pituitary and hypothalamic hormones and analogues	5.9	C0011701	DB00035
desogestrel	22656	G03AC09	Sex hormones and modulators of the genital system	1.03	C0057558	DB00304
desonide	3254	D07AB08	Corticosteroids, dermatological preparations	3.63	C0011705	DB01260
desoximetasone	3255	D07AC03	Corticosteroids, dermatological preparations	6.23	C0011707	DB00547
desvenlafaxine	734064	N06AX23	Psychoanaleptics	4.66	C1880288	DB06700
dexamethasone	3264	D07XB05	Corticosteroids, dermatological preparations	6.57	C0011777	DB01234
dexbrompheniramine	22696	R06AB06	Antihistamines for systemic use	2.62	C0057605	DB00405
dexchlorpheniramine	22697	R06AB02	Antihistamines for systemic use	3.12	C0057606	NA
dexfenfluramine	3268	A08AA04	Antiobesity preparations, excluding diet products	NA	C0011786	DB01191
dexlansoprazole	816346	A02BC06	Drugs for acid related disorders	4.54	C2348248	NA
dexmedetomidine	48937	N05CM18	Psycholeptics	57.14	C0113293	DB00633
dexmethylphenidate	352372	N06BA11	Psychoanaleptics	4.92	C1169997	DB06701
dexrazoxane	42736	V03AF02	All other therapeutic products	77.46	C0086444	DB00380
dextroamphetamine	3288	N06BA02	Psychoanaleptics	4	C0011812	DB01576
dextromethorphan	3289	R05DA09	Cough and cold preparations	4.44	C0011816	DB00514
dextromoramide	3290	N02AC01	Analgesics	NA	C0011817	NA
dextrothyroxine	3292	C10AX01	Lipid modifying agents	NA	C0011824	DB00509
dezocine	22713	N02AX03	Analgesics	NA	C0057626	DB01209
diazepam	3322	N05BA01	Psycholeptics	2.62	C0012010	DB00829
diazoxide	3327	C02DA01	Antihypertensives	21.3	C0012022	DB01119
dichloralphenazone	22892	N05CC04	Psycholeptics	3.47	C0057831	NA
diclofenac	3355	M02AA15	Topical products for joint and muscular pain	2.35	C0012091	DB00586
dicloxacillin	3356	J01CF01	Antibacterials for systemic use	1.95	C0012093	DB00485
dicyclomine	3361	A03AA07	Drugs for functional gastrointestinal disorders	0.38	C0012125	DB00804
didanosine	3364	J05AF02	Antivirals for systemic use	6.83	C0012133	DB00900
dienestrol	3368	G03CB01	Sex hormones and modulators of the genital system	0.95	C0012145	DB00890
dienogest	22968	G03DB08	Sex hormones and modulators of the genital system	3.06	C0057916	DB09123
diethylcarbamazine	3384	P02CB02	Anthelmintics	6.56	C0012191	DB00711
diethylpropion	3389	A08AA03	Antiobesity preparations, excluding diet products	0.86	C0012201	DB00937
diethylstilbestrol	3390	G03CC05	Sex hormones and modulators of the genital system	1.99	C0012203	DB00255
difenoxin	23024	A07DA04	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	6.12	C0057981	DB01501
diflorasone	91311	D07AC10	Corticosteroids, dermatological preparations	6.2	C0304612	DB00223
diflunisal	3393	N02BA11	Analgesics	2.27	C0012228	DB00861
difluprednate	23043	D07AC19	Corticosteroids, dermatological preparations	6.58	C0058004	DB06781
digitoxin	3403	C01AA04	Cardiac therapy	1.62	C0012258	DB01396
digoxin	3407	C01AA05	Cardiac therapy	0.22	C0012265	DB00390
dihydrocodeine	23088	N02AA08	Analgesics	4.24	C0058056	DB01551
dihydroergotamine	3418	N02CA01	Analgesics	44.24	C0012291	DB00320
dihydrotachysterol	3429	A11CC02	Vitamins	4.15	C0012319	DB01070
diloxanide	67182	P01AC01	Antiprotozoals	NA	C0206816	DB08792
diltiazem	3443	C08DB01	Calcium channel blockers	1.24	C0012373	DB00343
dimercaprol	3445	V03AB09	All other therapeutic products	NA	C0012383	DB06782
dimethyl fumarate	1373478	N07XX09	Other nervous system drugs	161.73	C0058218	DB08908
dimethyl sulfoxide	3455	G04BX13	Urologicals	57.53	C0012403	DB01093
dinoprostone	3478	G02AD02	Other gynecologicals	62.63	C0012472	DB00917
diphenhydramine	3498	R06AA02	Antihistamines for systemic use	2.17	C0012522	DB01075
diphenoxylate	3500	A07DA01	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	1.14	C0012525	DB01081
diphenylpyraline	23386	R06AA07	Antihistamines for systemic use	NA	C0058389	DB01146
dipyridamole	3521	B01AC07	Antithrombotic agents	4.92	C0012582	DB00975
dirithromycin	23437	J01FA13	Antibacterials for systemic use	NA	C0058445	DB00954
disopyramide	3541	C01BA03	Cardiac therapy	2.89	C0012702	DB00280
disulfiram	3554	N07BB01	Other nervous system drugs	3.42	C0012772	DB00822
dobutamine	3616	C01CA07	Cardiac therapy	10.55	C0012963	DB00841
docetaxel	72962	L01CD02	Antineoplastic agents	172.81	C0246415	DB01248
doconexent	1006469	NA	NA	NA	C2348308	NA
docosahexaenoate	73	NA	NA	NA	C0000464	NA
docosanol	594680	D06BB11	Antibiotics and chemotherapeutics for dermatological use	1.47	C0075770	DB00632
docusate	82003	A06AA02	Drugs for constipation	0.08	C1692318	NA
dofetilide	49247	C01BD04	Cardiac therapy	7.24	C0114771	DB00204
dolasetron	68091	A04AA04	Antiemetics and antinauseants	56.11	C0209210	DB00757
dolutegravir	1433868	J05AX12	Antivirals for systemic use	46.32	C3253985	DB08930
domperidone	3626	A03FA03	Drugs for functional gastrointestinal disorders	4.04	C0013015	DB01184
donepezil	135447	N06DA02	Psychoanaleptics	3.85	C0527316	DB00843
dopamine	3628	C01CA04	Cardiac therapy	6.02	C0013030	DB00988
dornase alfa	337623	R05CB13	Cough and cold preparations	82.8	C1135662	DB00003
dorzolamide	60207	S01EC03	Ophthalmologicals	2.14	C0165590	DB00869
doxapram	3637	R07AB01	Other respiratory system products	0.67	C0013084	DB00561
doxazosin	49276	C02CA04	Antihypertensives	0.32	C0114873	DB00590
doxepin	3638	N06AA12	Psychoanaleptics	0.75	C0013085	DB01142
doxercalciferol	11516	H05BX03	Calcium homeostasis	11.55	C0043668	DB06410
doxorubicin	3639	L01DB01	Antineoplastic agents	45.57	C0013089	DB00997
doxycycline	3640	J01AA02	Antibacterials for systemic use	3.15	C0013090	DB00254
doxylamine	3642	R06AA09	Antihistamines for systemic use	14.55	C0013092	DB00366
dronedarone	233698	C01BD07	Cardiac therapy	8.66	C0766326	DB04855
droperidol	3648	N05AD08	Psycholeptics	1.45	C0013136	DB00450
drospirenone	11636	G03AA12	Sex hormones and modulators of the genital system	1.9	C0043822	DB01395
duloxetine	72625	N06AX21	Psychoanaleptics	5.87	C0245561	DB00476
dutasteride	228790	G04CB02	Urologicals	3.39	C0754659	DB01126
dyclonine	23744	N01BX02	Anesthetics	5.46	C0058831	DB00645
dydrogesterone	3706	G03DB01	Sex hormones and modulators of the genital system	NA	C0013340	DB00378
echothiophate	89778	S01EB03	Ophthalmologicals	2.91	C0301366	DB01057
econazole	3743	G01AF05	Gynecological antiinfectives and antiseptics	1.6	C0013547	DB01127
eculizumab	591781	L04AA25	Immunosuppressants	1311.34	C1541483	DB01257
efalizumab	356988	L04AA21	Immunosuppressants	61.38	C1174995	DB00095
efavirenz	195085	J05AG03	Antivirals for systemic use	47.01	C0674428	DB00625
efinaconazole	1539753	D01AC19	Antifungals for dermatological use	21.91	C3273754	DB09040
eflornithine	569	D11AX16	Other dermatological preparations	3.46	C0002260	DB06243
eletriptan	231049	N02CC06	Analgesics	18.2	C0759933	DB00216
eltrombopag	711942	B02BX05	Antihemorrhagics	152.36	C1831905	DB06210
elvitegravir	1306286	J05AX11	Antivirals for systemic use	NA	C2606637	DB09101
emedastine	28144	S01GX06	Ophthalmologicals	4.14	C0064263	DB01084
empagliflozin	1545653	A10BX12	Drugs used in diabetes	10.07	C3490348	DB09038
emtricitabine	276237	J05AF09	Antivirals for systemic use	44.23	C0909839	DB00879
enalapril	3827	C09AA02	Agents acting on the renin-angiotensin system	0.32	C0014025	DB00584
encainide	42368	C01BC08	Cardiac therapy	NA	C0085251	DB01228
enflurane	3920	N01AB04	Anesthetics	5.04	C0014277	DB00228
enfuvirtide	139896	J05AX07	Antivirals for systemic use	103.24	C0537439	DB00109
enoxacin	3925	J01MA04	Antibacterials for systemic use	NA	C0014310	DB00467
enoxaparin	67108	B01AB05	Antithrombotic agents	67.23	C0206460	DB01225
enoximone	49626	C01CE03	Cardiac therapy	NA	C0116190	DB04880
entacapone	60307	N04BX02	Anti-parkinson drugs	10.28	C0165921	DB00494
entecavir	306266	J05AF10	Antivirals for systemic use	26.94	C0971023	DB00442
enzalutamide	1307298	L02BB04	Endocrine therapy	260.01	C3496793	DB08899
ephedrine	3966	R03CA02	Drugs for obstructive airway diseases	2.05	C0014479	DB01364
epinastine	39684	R06AX24	Antihistamines for systemic use	3.83	C0078442	DB00751
epinephrine	3992	A01AD01	Stomatological preparations	76.19	C0014563	DB00668
epirubicin	3995	L01DB03	Antineoplastic agents	86.55	C0014582	DB00445
eplerenone	298869	C03DA04	Diuretics	3.45	C0961485	DB00700
epoetin alfa	105694	B03XA02	Antianemic preparations	45.83	C0357126	DB00016
epoprostenol	8814	B01AC09	Antithrombotic agents	120.64	C0033567	DB01240
eprosartan	83515	C09CA02	Agents acting on the renin-angiotensin system	2.77	C0287041	DB00876
eptifibatide	75635	B01AC16	Antithrombotic agents	1081.34	C0253563	DB00063
ergocalciferol	4018	A11CC01	Vitamins	0.2	C0014695	DB00153
ergotamine	4025	N02CA02	Analgesics	3.86	C0014710	DB00696
erlotinib	337525	L01XE03	Antineoplastic agents	136.77	C1135135	DB00530
ertapenem	325642	J01DH03	Antibacterials for systemic use	70.94	C1120106	DB00303
erythromycin	4053	D10AF02	Anti-acne preparations	1.99	C0014806	DB00199
escitalopram	321988	N06AB10	Psychoanaleptics	2.47	C1099456	DB01175
esmolol	49737	C07AB09	Beta blocking agents	NA	C0116569	DB00187
esomeprazole	283742	A02BC05	Drugs for acid related disorders	5.8	C0937846	DB00736
estazolam	4077	N05CD04	Psycholeptics	0.56	C0014892	DB01215
estradiol	4083	G03CA03	Sex hormones and modulators of the genital system	1.74	C0014912	DB00783
estramustine	4089	L01XX11	Antineoplastic agents	19.23	C0014921	DB01196
estriol	4094	G03CA04	Sex hormones and modulators of the genital system	5.18	C0014927	DB04573
estrogens, conjugated (usp)	4099	G03CA57	Sex hormones and modulators of the genital system	NA	C0014938	DB00286
estrogens, esterified (usp)	214549	G03CA07	Sex hormones and modulators of the genital system	NA	C0717752	DB09381
estrone	4103	G03CA07	Sex hormones and modulators of the genital system	2.27	C0014942	DB00655
estropipate	33747	G03CA03	Sex hormones and modulators of the genital system	0.3	C0071108	NA
eszopiclone	461016	N05CF04	Psycholeptics	5.53	C1436328	DB00402
etanercept	214555	L04AB01	Immunosuppressants	69.57	C0717758	DB00005
ethacrynate	62349	C03CC01	Diuretics	620.84	C0178626	DB00903
ethambutol	4110	J04AK02	Antimycobacterials	2.74	C0014964	DB00330
ethchlorvynol	4118	N05CM08	Psycholeptics	NA	C0014987	DB00189
ethinyl estradiol	4124	G03CA01	Sex hormones and modulators of the genital system	1.35	C0015011	DB00977
ethionamide	4127	J04AD03	Antimycobacterials	7.94	C0015021	DB00609
ethosuximide	4135	N03AD01	Antiepileptics	2.79	C0015043	DB00593
ethotoin	4136	N03AB01	Antiepileptics	6.11	C0015046	DB00754
ethyl loflazepate	24524	N05BA18	Psycholeptics	NA	C0059772	DB01545
ethylestrenol	4162	A14AB02	Anabolic agents for systemic use	NA	C0015099	NA
ethylmorphine	4166	S01XA06	Ophthalmologicals	NA	C0015109	DB01466
ethynodiol	24591	G03DC06	Sex hormones and modulators of the genital system	0.78	C0059849	DB00823
etodolac	24605	M01AB08	Anti-inflammatory and antirheumatic products	1.03	C0059865	DB00749
etomidate	4177	N01AX07	Anesthetics	18.41	C0015131	DB00292
etonogestrel	14584	G03AC08	Sex hormones and modulators of the genital system	2.8	C0047683	DB00294
etoposide	4179	L01CB01	Antineoplastic agents	69.09	C0015133	DB00773
etoricoxib	307296	M01AH05	Anti-inflammatory and antirheumatic products	NA	C0972314	DB01628
etravirine	475969	J05AG04	Antivirals for systemic use	25.83	C1456409	DB06414
etretinate	4182	D05BB01	Antipsoriatics	NA	C0015137	NA
everolimus	141704	L01XE10	Antineoplastic agents	254.53	C0541315	DB01590
exemestane	258494	L02BG06	Endocrine therapy	9.51	C0851344	DB00990
exenatide	60548	A10BX04	Drugs used in diabetes	9.53	C0167117	DB01276
ezetimibe	341248	C10AX09	Lipid modifying agents	3.43	C1142985	DB00973
famciclovir	68099	J05AB09	Antivirals for systemic use	14.18	C0209227	DB00426
famotidine	4278	A02BA03	Drugs for acid related disorders	0.93	C0015620	DB00927
febuxostat	73689	M04AA03	Antigout preparations	5.82	C0249529	DB04854
felbamate	24812	N03AX10	Antiepileptics	18.62	C0060135	DB00949
felodipine	4316	C08CA02	Calcium channel blockers	1.27	C0015772	DB01023
fenfluramine	4328	A08AA02	Antiobesity preparations, excluding diet products	NA	C0015827	NA
fenofibrate	8703	C10AB05	Lipid modifying agents	2.85	C0033228	DB01039
fenoldopam	24853	C01CA19	Cardiac therapy	NA	C0060180	DB00800
fenoprofen	4331	M01AE04	Anti-inflammatory and antirheumatic products	2.49	C0015837	DB00573
fenoterol	4333	R03CC04	Drugs for obstructive airway diseases	NA	C0015840	DB01288
fentanyl	4337	N02AB03	Analgesics	13.39	C0015846	DB00813
fesoterodine	797195	G04BD11	Urologicals	4.9	C2343853	DB06702
fexofenadine	87636	R06AX26	Antihistamines for systemic use	1.76	C0296800	DB00950
fidaxomicin	1111103	A07AA12	Antidiarrheals, intestinal anti-inflammatory/anti-infective agents	285.06	C0065023	DB08874
filgrastim	68442	L03AA02	Immunostimulants	205.12	C0210630	DB00099
finasteride	25025	D11AX10	Other dermatological preparations	1.12	C0060389	DB01216
fingolimod	1012892	L04AA27	Immunosuppressants	156.24	C1699926	DB08868
flavoxate	4440	G04BD02	Urologicals	3.84	C0016225	DB01148
flecainide	4441	C01BC04	Cardiac therapy	1.25	C0016229	DB01195
fleroxacin	42322	J01MA08	Antibacterials for systemic use	NA	C0085161	DB04576
fluconazole	4450	D01AC15	Antifungals for dermatological use	2.51	C0016277	DB00196
flucytosine	4451	J02AX01	Antimycotics for systemic use	236.55	C0016278	DB01099
fludarabine	24698	L01BB05	Antineoplastic agents	160.58	C0059985	DB01073
fludrocortisone	4452	H02AA02	Corticosteroids for systemic use	0.71	C0016280	DB00687
flufenamic acid	4453	M01AG03	Anti-inflammatory and antirheumatic products	NA	C0016282	NA
flumazenil	4457	V03AB25	All other therapeutic products	15.77	C0016293	DB01205
flunarizine	4459	N07CA03	Other nervous system drugs	NA	C0016295	DB04841
flunisolide	25120	R01AD04	Nasal preparations	1.11	C0060501	DB00180
flunitrazepam	4460	N05CD03	Psycholeptics	NA	C0016296	DB01544
fluocinolone	25126	D07AC04	Corticosteroids, dermatological preparations	3.09	C0060507	NA
fluocinonide	4462	C05AA11	Vasoprotectives	2.44	C0016299	DB01047
fluorescein	25138	S01JA01	Ophthalmologicals	1.71	C0060520	DB00693
fluorometholone	4491	D10AA01	Anti-acne preparations	1.53	C0016351	DB00324
fluorouracil	4492	L01BC02	Antineoplastic agents	11.73	C0016360	DB00544
fluoxetine	4493	N06AB03	Psychoanaleptics	0.66	C0016365	DB00472
fluoxymesterone	4494	G03BA01	Sex hormones and modulators of the genital system	4.68	C0016366	DB01185
fluphenazine	4496	N05AB02	Psycholeptics	0.92	C0016368	DB00623
flurandrenolide	4500	D07AC07	Corticosteroids, dermatological preparations	14.77	C0016374	DB00846
flurazepam	4501	N05CD01	Psycholeptics	0.21	C0016375	DB00690
flurbiprofen	4502	M01AE09	Anti-inflammatory and antirheumatic products	26.91	C0016377	DB00712
fluspirilene	4507	N05AG01	Psycholeptics	NA	C0016383	DB04842
flutamide	4508	L02BB01	Endocrine therapy	3.75	C0016384	DB00499
fluticasone	41126	R01AD12	Nasal preparations	3.32	C0082607	DB00588
fluvastatin	41127	C10AA04	Lipid modifying agents	3.2	C0082608	DB01095
fluvoxamine	42355	N06AB08	Psychoanaleptics	2.64	C0085228	DB00176
follicle stimulating hormone	227518	G03GA05	Sex hormones and modulators of the genital system	188.7	C0733758	NA
follitropin alfa	386938	G03GA05	Sex hormones and modulators of the genital system	419.37	C1268876	DB09024
follitropin beta	25357	G03GA06	Sex hormones and modulators of the genital system	364.99	C0060787	DB00066
follitropin beta	25357	G03GA06	Sex hormones and modulators of the genital system	364.99	C0060787	DB00094
fomepizole	15226	V03AB34	All other therapeutic products	NA	C0048504	DB01213
fondaparinux	321208	B01AX05	Antithrombotic agents	77.83	C1098510	NA
formic acid	4537	NA	NA	1.15	C0016576	NA
formoterol	25255	R03AC13	Drugs for obstructive airway diseases	7.06	C0060657	DB00983
fosamprenavir	358262	J05AE07	Antivirals for systemic use	28.24	C1176315	DB01319
foscarnet	33562	J05AD01	Antivirals for systemic use	84.53	C0070895	DB00529
fosfomycin	4550	J01XX01	Antibacterials for systemic use	37.9	C0016610	DB00828
fosinopril	50166	C09AA09	Agents acting on the renin-angiotensin system	0.55	C0118168	DB00492
fosphenytoin	72236	N03AB05	Antiepileptics	19.89	C0244656	DB01320
framycetin	4556	R01AX08	Nasal preparations	NA	C0016673	DB00452
frovatriptan	228783	N02CC07	Analgesics	23.68	C0754647	DB00998
fructose	4570	V06DC02	General nutrients	0.65	C0016745	NA
fulvestrant	282357	L02BA03	Endocrine therapy	82.71	C0935916	DB00947
furazolidone	4601	G01AX06	Gynecological antiinfectives and antiseptics	4.24	C0016855	DB00614
furosemide	4603	C03CA01	Diuretics	0.11	C0016860	DB00695
gabapentin	25480	N03AX12	Antiepileptics	1.58	C0060926	DB00996
gadobutrol	84990	V08CA09	Contrast media	NA	C0291216	DB06703
gadodiamide	41144	V08CA03	Contrast media	119.39	C0082646	DB00225
gadoteridol	25483	V08CA04	Contrast media	NA	C0060930	DB00597
gadoversetamide	228833	V08CA06	Contrast media	1	C0754820	DB00538
galantamine	4637	N06DA04	Psychoanaleptics	4.42	C0016967	DB00674
galsulfase	578033	A16AB08	Other alimentary tract and metabolism products	2388.35	C1615657	DB01279
ganciclovir	4678	J05AB06	Antivirals for systemic use	19.54	C0017066	DB01004
ganirelix	35825	H01CC01	Pituitary and hypothalamic hormones and analogues	100.88	C0073629	DB06785
gatifloxacin	228476	S01AE06	Ophthalmologicals	6.42	C0753645	DB01044
gefitinib	328134	L01XE02	Antineoplastic agents	57.12	C1122962	DB00317
gemcitabine	12574	L01BC05	Antineoplastic agents	116.67	C0045093	DB00441
gemfibrozil	4719	C10AB04	Lipid modifying agents	0.57	C0017245	DB01241
gemifloxacin	138099	J01MA15	Antibacterials for systemic use	24.65	C0533545	DB01155
gentamicin sulfate (usp)	142438	J01GB03	Antibacterials for systemic use	NA	C0546866	NA
glatiramer	214582	L03AX13	Immunostimulants	115.03	C0717787	NA
gliclazide	4816	A10BB09	Drugs used in diabetes	NA	C0017631	DB01120
glimepiride	25789	A10BB12	Drugs used in diabetes	0.49	C0061323	DB00222
glipizide	4821	A10BB07	Drugs used in diabetes	0.42	C0017642	DB01067
gliquidone	25793	A10BB08	Drugs used in diabetes	NA	C0061328	DB01251
glucagon	4832	H04AA01	Pancreatic hormones	78.55	C0017687	DB00040
glucosamine	4845	M01AX05	Anti-inflammatory and antirheumatic products	1.84	C0017718	DB01296
glutathione	4890	V03AB32	All other therapeutic products	6.29	C0017817	DB00143
glutethimide	4903	N05CE01	Psycholeptics	NA	C0017845	DB01437
glyburide	4815	A10BB01	Drugs used in diabetes	0.6	C0017628	DB01016
glycine	4919	B05CX03	Blood substitutes and perfusion solutions	25.98	C0017890	DB00145
glycopyrrolate	4955	A03AB02	Drugs for functional gastrointestinal disorders	2.53	C0017970	NA
golimumab	819300	L04AB06	Immunosuppressants	81.48	C2353893	DB06674
gonadorelin	6384	H01CA01	Pituitary and hypothalamic hormones and analogues	NA	C0023610	DB00644
goserelin	50610	L02AE03	Endocrine therapy	37.2	C0120107	DB00014
gramicidin	5011	R02AB30	Throat preparations	2.01	C0018165	DB00027
granisetron	26237	A04AA02	Antiemetics and antinauseants	49.61	C0061863	DB00889
grepafloxacin	83719	J01MA11	Antibacterials for systemic use	NA	C0287721	NA
griseofulvin	5021	D01BA01	Antifungals for dermatological use	4.01	C0018242	DB00400
guaifenesin	5032	R05CA03	Cough and cold preparations	1.02	C0018305	DB00874
guanethidine	5036	S01EX01	Ophthalmologicals	14.97	C0018318	DB01170
guanfacine	40114	C02AC02	Antihypertensives	3.91	C0079466	DB01018
halazepam	26412	N05BA13	Psycholeptics	NA	C0062092	DB00801
halcinonide	5084	D07AD02	Corticosteroids, dermatological preparations	11.26	C0018513	DB06786
halobetasol	41208	D07AC21	Corticosteroids, dermatological preparations	3.59	C0082787	DB00596
halofantrine	50749	P01BX01	Antiprotozoals	NA	C0120726	DB01218
haloperidol	5093	N05AD01	Psycholeptics	0.9	C0018546	DB00502
haloprogin	26422	D01AE11	Antifungals for dermatological use	NA	C0062106	DB00793
halothane	5095	N01AB01	Anesthetics	1.1	C0018549	DB01159
heparin	5224	B01AB01	Antithrombotic agents	7.79	C0019134	DB01109
heparin, porcine	235473	B01AB01	Antithrombotic agents	NA	C0770546	NA
hetacillin	26797	J01CA18	Antibacterials for systemic use	NA	C0062587	DB00739
hexachlorophene	5293	D08AE01	Antiseptics and disinfectants	2.27	C0019435	DB00756
hexobarbital	5302	N05CA16	Psycholeptics	NA	C0019469	DB01355
homatropine	27084	S01FA05	Ophthalmologicals	2.97	C0062922	NA
hyaluronate	62372	D03AX05	Preparations for treatment of wounds and ulcers	25.93	C0178695	DB08818
hyaluronidase	5464	B06AA03	Other hematological agents	72	C0020197	DB00070
hydralazine	5470	C02DB02	Antihypertensives	0.81	C0020223	DB01275
hydrochlorothiazide	5487	C03AA03	Diuretics	0.8	C0020261	DB00999
hydrocodone	5489	R05DA03	Cough and cold preparations	1.43	C0020264	DB00956
hydrocortisone	5492	H02AB09	Corticosteroids for systemic use	3.08	C0020268	DB00741
hydroflumethiazide	5495	C03AA02	Diuretics	NA	C0020273	DB00774
hydromorphone	3423	N02AA03	Analgesics	3.46	C0012306	DB00327
hydroquinone	5509	D11AX11	Other dermatological preparations	2.71	C0020306	DB09526
hydroxocobalamin	5514	B03BA03	Antianemic preparations	14.68	C0020316	DB00200
hydroxychloroquine	5521	P01BA02	Antiprotozoals	0.67	C0020336	DB01611
hydroxypropylcellulose	27291	S01KA02	Ophthalmologicals	NA	C0063188	DB00840
hydroxyurea	5552	L01XX05	Antineoplastic agents	1.07	C0020402	DB01005
hydroxyzine	5553	N05BB01	Psycholeptics	0.94	C0020404	DB00557
hylan g-f 20	284637	M01AX	Anti-inflammatory and antirheumatic products	NA	C0939234	NA
hyoscyamine	153970	A03BA03	Drugs for functional gastrointestinal disorders	2.26	C0596004	DB00424
ibandronate	115264	M05BA06	Drugs for treatment of bone diseases	3.52	C0379199	DB00710
ibuprofen	5640	M01AE01	Anti-inflammatory and antirheumatic products	0.62	C0020740	DB01050
ibutilide	41289	C01BD05	Cardiac therapy	NA	C0082966	DB00308
icatibant	1148138	B06AC02	Other hematological agents	15438.96	C0246269	DB06196
idarubicin	5650	L01DB06	Antineoplastic agents	206.34	C0020789	DB01177
idoxuridine	5653	D06BB01	Antibiotics and chemotherapeutics for dermatological use	8.76	C0020811	DB00249
idursulfase	644101	A16AB09	Other alimentary tract and metabolism products	1091.89	C1739462	DB01271
ifosfamide	5657	L01AA06	Antineoplastic agents	74.12	C0020823	DB01181
iloperidone	73178	N05AX14	Psycholeptics	19.47	C0247194	DB04946
iloprost	40138	B01AC11	Antithrombotic agents	422.73	C0079594	DB01088
imatinib	282388	L01XE01	Antineoplastic agents	172.21	C0935989	DB00619
imiglucerase	84959	A16AB02	Other alimentary tract and metabolism products	861.94	C0291140	DB00053
imiglucerase	84959	A16AB02	Other alimentary tract and metabolism products	861.94	C0291140	DB06720
imipramine	5691	N06AA02	Psychoanaleptics	1.39	C0020934	DB00458
imiquimod	59943	D06BB10	Antibiotics and chemotherapeutics for dermatological use	15.44	C0165032	DB00724
immunoglobulin g	5666	J06BA02	Immune sera and immunoglobulins	NA	C0020852	NA
indacaterol	1114326	R03AC18	Drugs for obstructive airway diseases	5.69	C1722260	DB05039
indapamide	5764	C03BA11	Diuretics	0.17	C0021186	DB00808
indinavir	114289	J05AE02	Antivirals for systemic use	13.78	C0376637	DB00224
indomethacin	5781	C01EB03	Cardiac therapy	1.22	C0021246	DB00328
infliximab	191831	L04AB02	Immunosuppressants	167.68	C0666743	DB00065
ingenol mebutate	1242806	D06BX02	Antibiotics and chemotherapeutics for dermatological use	170.03	C2825682	DB05013
insulin detemir	139825	A10AE05	Drugs used in diabetes	9.07	C0537270	DB01307
insulin glargine	274783	A10AE04	Drugs used in diabetes	7.33	C0907402	DB00047
insulin lispro	86009	A10AB04	Drugs used in diabetes	9.63	C0293359	DB00046
insulin, aspart protamine, human	352385	A10AD01	Drugs used in diabetes	NA	C1170011	NA
insulin, aspart, human	51428	A10AB05	Drugs used in diabetes	NA	C0123677	DB01306
