drug_name_A	drug_name_B	drug_name_C	drug_name_D	drug_name_E	atleast_exposure_count	exact_exposure_count	estimate_drug_cost_per_day	fraction_exact	fraction_allwindows	observe_per_expect_1s	observe_per_expect_N1
amlodipine	hydrochlorothiazide	metformin	rosuvastatin	sitagliptin	39690	<100	13.9	 	0	267.578	2.502
amlodipine	ezetimibe	hydrochlorothiazide	metformin	valsartan	39689	425	9.55	0.0107	0	105.621	2.281
atenolol	atorvastatin	hydrochlorothiazide	metformin	pioglitazone	39667	191	10.5	0.0048	0	172.886	1.985
atorvastatin	digoxin	furosemide	metoprolol	warfarin	39655	964	3.93	0.0243	0	3389.146	1.626
hydrochlorothiazide	losartan	metoprolol	omeprazole	simvastatin	39641	3464	4.23	0.0874	0	36.755	1.48
insulin glargine	lisinopril	metformin	simvastatin	thyroxine	39627	1647	9.89	0.0416	0	61.634	0.796
lisinopril	metoprolol	salmeterol	simvastatin	fluticasone	39625	1188	11.87	0.03	0	72.06	1.21
hydrochlorothiazide	hydrocodone	lisinopril	rosuvastatin	acetaminophen	39617	2041	7.93	0.0515	0	27.74	0.627
amlodipine	atenolol	glipizide	lisinopril	metformin	39593	941	3.14	0.0238	0	235.856	2.302
ezetimibe	hydrochlorothiazide	pioglitazone	simvastatin	valsartan	39589	1132	13.94	0.0286	0	410.637	4.559
atenolol	lisinopril	metformin	simvastatin	thyroxine	39539	1648	2.72	0.0417	0	22.049	0.836
atorvastatin	clopidogrel	ezetimibe	lisinopril	metoprolol	39461	6050	10.64	0.1533	0	205.89	1.875
glimepiride	hydrochlorothiazide	lisinopril	pioglitazone	simvastatin	39418	1125	8.24	0.0285	0	303.382	2.024
ezetimibe	metformin	metoprolol	simvastatin	valsartan	39373	659	9.07	0.0167	0	161.474	2.183
furosemide	glipizide	lisinopril	metformin	simvastatin	39369	1003	2.77	0.0255	0	246.303	1.726
digoxin	furosemide	lisinopril	simvastatin	warfarin	39365	428	1.85	0.0109	0	1712.593	1.633
ezetimibe	hydrochlorothiazide	lisinopril	metformin	glyburide	39354	605	6.2	0.0154	0	239.559	2.017
amlodipine	atenolol	hydrochlorothiazide	lisinopril	thyroxine	39339	3257	2.69	0.0828	0	14.069	0.805
amlodipine	fenofibrate	hydrochlorothiazide	lisinopril	simvastatin	39333	2744	5.93	0.0698	0	26.873	1.573
glimepiride	hydrochlorothiazide	metformin	metoprolol	pioglitazone	39301	<100	8.94	 	0	619.123	1.774
glimepiride	hydrochlorothiazide	metformin	metoprolol	valsartan	39272	946	6.06	0.0241	0	256.083	1.944
amlodipine	atorvastatin	hydrochlorothiazide	irbesartan	metformin	39266	2154	7.85	0.0549	0	142.8	3.193
amlodipine	atorvastatin	clopidogrel	lisinopril	metformin	39263	475	8.91	0.0121	0	70.038	1.646
amlodipine	atenolol	hydrochlorothiazide	simvastatin	thyroxine	39217	913	3.34	0.0233	0	14.904	0.95
amlodipine	furosemide	lisinopril	simvastatin	acetaminophen	39200	<100	3.78	 	0	36.806	1.964
furosemide	lisinopril	omeprazole	simvastatin	acetaminophen	39198	<100	3.51	 	0	52.947	2.623
amlodipine	benazepril	clopidogrel	hydrochlorothiazide	metoprolol	39183	987	7.96	0.0252	0	156.965	1.242
lisinopril	metformin	simvastatin	insulin, isophane	regular insulin, human	39130	3177	NA	0.0812	0	11942.774	2.662
lisinopril	metformin	metoprolol	acetaminophen	thyroxine	39129	<100	3.72	 	0	12.931	1.436
azithromycin	montelukast	salmeterol	albuterol	fluticasone	39111	6548	18.73	0.1674	0	1233.45	0.786
lisinopril	metformin	omeprazole	pioglitazone	simvastatin	39090	1412	9.02	0.0361	0	128.408	1.023
atenolol	hydrochlorothiazide	lisinopril	lovastatin	metformin	39082	4094	3.06	0.1048	0	122.014	3.142
glimepiride	hydrochlorothiazide	insulin glargine	lisinopril	metformin	39079	1517	9.99	0.0388	0	427.234	1.792
furosemide	hydrocodone	metoprolol	simvastatin	thyroxine	39059	<100	3.37	 	0	48.252	1.926
amlodipine	hydrochlorothiazide	metoprolol	rosuvastatin	valsartan	39055	4653	9.7	0.1191	0	92.671	2.269
metformin	metoprolol	simvastatin	acetaminophen	thyroxine	39055	<100	4.37	 	0	13.715	1.389
hydrochlorothiazide	lisinopril	metformin	omeprazole	glyburide	39054	1462	3.69	0.0374	0	115.563	0.973
atorvastatin	hydrochlorothiazide	metformin	metoprolol	omeprazole	39041	276	6.04	0.0071	0	23.589	1.143
amlodipine	lisinopril	metformin	metoprolol	sitagliptin	39036	359	9.87	0.0092	0	142.94	1.524
carvedilol	digoxin	furosemide	lisinopril	simvastatin	39016	2058	2.42	0.0527	0	1910.763	1.763
amlodipine	metoprolol	omeprazole	simvastatin	acetaminophen	39013	<100	5.01	 	0	27.958	1.82
alprazolam	hydrochlorothiazide	hydrocodone	valsartan	acetaminophen	38976	1940	7	0.0498	0	75.046	1.308
atenolol	atorvastatin	hydrochlorothiazide	lisinopril	thyroxine	38942	4182	4.03	0.1074	0	14.076	0.956
gabapentin	hydrocodone	metformin	simvastatin	acetaminophen	38920	388	6.42	0.01	0	79.581	0.829
hydrochlorothiazide	metformin	metoprolol	pioglitazone	sitagliptin	38901	<100	15.12	 	0	556.261	1.661
amlodipine	atorvastatin	benazepril	metformin	thyroxine	38888	2040	6.7	0.0525	0	65.987	0.797
amlodipine	hydrochlorothiazide	metformin	triamterene	glyburide	38861	777	3.94	0.02	0	409.722	3.524
hydrochlorothiazide	metformin	pioglitazone	simvastatin	olmesartan	38856	1758	11.62	0.0452	0	274.642	3.209
hydrochlorothiazide	lisinopril	omeprazole	salmeterol	fluticasone	38828	1960	12.08	0.0505	0	65.916	1.189
amlodipine	ezetimibe	metoprolol	simvastatin	valsartan	38787	1533	9.11	0.0395	0	151.051	2.434
atorvastatin	insulin glargine	lisinopril	metformin	pioglitazone	38773	2127	17.09	0.0549	0	656.751	2.403
amlodipine	hydrochlorothiazide	insulin glargine	losartan	metformin	38741	700	11.47	0.0181	0	185.419	2.391
metoprolol	omeprazole	simvastatin	acetaminophen	thyroxine	38734	<100	4.14	 	0	18.582	1.938
amlodipine	atorvastatin	hydrochlorothiazide	lisinopril	triamterene	38726	4118	4.94	0.1063	0	38.33	0.83
amlodipine	clonidine	hydrochlorothiazide	lisinopril	metformin	38721	827	4.28	0.0214	0	96.819	1.893
hydrochlorothiazide	lisinopril	oxycodone	simvastatin	acetaminophen	38716	2222	7.27	0.0574	0	23.695	0.719
clopidogrel	ezetimibe	furosemide	metoprolol	simvastatin	38710	658	8.87	0.017	0	586.835	2.443
amlodipine	atorvastatin	glipizide	hydrochlorothiazide	metoprolol	38666	162	5.58	0.0042	0	83.19	2.025
clopidogrel	lisinopril	metformin	metoprolol	pioglitazone	38617	364	11.69	0.0094	0	385.969	2.165
hydrochlorothiazide	metformin	metoprolol	simvastatin	olmesartan	38615	1871	6.4	0.0485	0	52.207	1.95
amlodipine	hydrochlorothiazide	insulin glargine	lisinopril	simvastatin	38603	949	10.41	0.0246	0	43.389	1.949
fenofibrate	hydrochlorothiazide	lisinopril	metformin	rosuvastatin	38584	2053	9.11	0.0532	0	98.258	1.763
hydrochlorothiazide	losartan	metformin	sitagliptin	thyroxine	38584	1176	9.94	0.0305	0	141.219	0.941
atorvastatin	clopidogrel	hydrochlorothiazide	metoprolol	triamterene	38577	2189	7.99	0.0567	0	177.607	4.075
ezetimibe	fenofibrate	metformin	metoprolol	simvastatin	38548	360	8.94	0.0093	0	236.221	2.211
amlodipine	clopidogrel	metoprolol	simvastatin	thyroxine	38492	947	6.84	0.0246	0	47.763	0.802
hydrochlorothiazide	lisinopril	lovastatin	metformin	pioglitazone	38482	2396	8.76	0.0623	0	329.331	2.758
atenolol	atorvastatin	hydrochlorothiazide	losartan	metformin	38407	2200	5.64	0.0573	0	66.613	1.983
amlodipine	benazepril	hydrocodone	omeprazole	acetaminophen	38399	1948	6.44	0.0507	0	128.188	0.812
clopidogrel	lisinopril	metoprolol	omeprazole	simvastatin	38387	3544	6.47	0.0923	0	72.664	1.013
atorvastatin	lisinopril	metformin	sitagliptin	thyroxine	38362	2153	10.89	0.0561	0	91.323	0.816
amlodipine	hydrochlorothiazide	losartan	omeprazole	simvastatin	38344	2870	4.78	0.0748	0	34.159	1.426
hydrochlorothiazide	metoprolol	omeprazole	acetaminophen	thyroxine	38333	<100	4.07	 	0	12.42	1.845
clopidogrel	lisinopril	metformin	metoprolol	rosuvastatin	38309	2357	9.92	0.0615	0	187.884	2.097
atenolol	atorvastatin	hydrochlorothiazide	triamterene	thyroxine	38291	4998	4.01	0.1305	0	70.946	1.634
amlodipine	atorvastatin	carvedilol	hydrochlorothiazide	lisinopril	38284	3721	5.74	0.0972	0	45.754	1.683
amlodipine	hydrochlorothiazide	metformin	glyburide	thyroxine	38271	185	4.06	0.0048	0	74.236	0.704
clopidogrel	lisinopril	metformin	metoprolol	sitagliptin	38255	405	12.5	0.0106	0	444.409	1.963
atenolol	glimepiride	hydrochlorothiazide	lisinopril	metformin	38245	1846	2.82	0.0483	0	149.907	1.69
ezetimibe	metformin	simvastatin	sitagliptin	thyroxine	38245	1024	12.44	0.0268	0	283.288	0.899
amlodipine	atenolol	atorvastatin	benazepril	hydrochlorothiazide	38201	4958	6.19	0.1298	0	92.983	1.849
carvedilol	furosemide	lisinopril	spironolactone	warfarin	38196	2199	2.25	0.0576	0	6581.617	2.048
atorvastatin	fenofibrate	hydrochlorothiazide	metformin	valsartan	38186	1475	10.31	0.0386	0	116.798	2.131
atorvastatin	glipizide	hydrochlorothiazide	lisinopril	pioglitazone	38173	1293	9.83	0.0339	0	304.795	2.096
amlodipine	ezetimibe	hydrochlorothiazide	metoprolol	valsartan	38173	698	9.04	0.0183	0	100.4	2.458
amlodipine	atenolol	hydrochlorothiazide	simvastatin	valsartan	38134	4461	6	0.117	0	48.757	1.764
esomeprazole	ezetimibe	hydrochlorothiazide	metoprolol	simvastatin	38128	566	11.54	0.0148	0	82.022	1.336
atorvastatin	fenofibrate	lisinopril	metformin	pioglitazone	38108	1811	12.61	0.0475	0	392.363	2.195
amlodipine	benazepril	bisoprolol	hydrochlorothiazide	simvastatin	38088	7169	4.79	0.1882	0	440.365	2.103
amlodipine	hydrocodone	lisinopril	metformin	metoprolol	38087	<100	4.63	 	0	25.203	1.271
hydrochlorothiazide	losartan	metformin	pioglitazone	glyburide	38084	1547	9.41	0.0406	0	1300.103	2.95
glipizide	lisinopril	metformin	metoprolol	sitagliptin	38058	741	9.1	0.0195	0	751.794	1.602
hydrochlorothiazide	insulin glargine	lisinopril	metoprolol	simvastatin	37964	731	9.86	0.0193	0	44.411	1.452
amlodipine	glimepiride	lisinopril	metformin	metoprolol	37960	730	3.69	0.0192	0	153.133	1.747
amlodipine	atorvastatin	clopidogrel	metoprolol	valsartan	37956	2584	11.16	0.0681	0	212.31	2.392
amlodipine	hydrochlorothiazide	hydrocodone	metoprolol	thyroxine	37952	<100	4.38	 	0	11.458	1.242
amlodipine	atorvastatin	ezetimibe	hydrochlorothiazide	metoprolol	37948	469	8.59	0.0124	0	44.79	1.796
amlodipine	clonidine	hydrochlorothiazide	lisinopril	metoprolol	37937	3439	3.77	0.0907	0	93.75	1.793
hydrochlorothiazide	metformin	montelukast	salmeterol	fluticasone	37935	<100	15.09	 	0	147.215	0.804
atorvastatin	glipizide	lisinopril	metformin	thyroxine	37929	2371	4.64	0.0625	0	77.019	0.733
amlodipine	clonidine	hydrochlorothiazide	metformin	simvastatin	37917	102	4.93	0.0027	0	100.749	1.97
amlodipine	atorvastatin	insulin glargine	lisinopril	metformin	37896	803	12.42	0.0212	0	117.969	1.664
glipizide	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	37891	584	4.26	0.0154	0	53.606	0.997
atorvastatin	benazepril	hydrochlorothiazide	metformin	metoprolol	37868	985	6.63	0.026	0	50.895	2.199
atorvastatin	glipizide	metformin	metoprolol	pioglitazone	37861	612	10.6	0.0162	0	916.186	1.974
exenatide	hydrochlorothiazide	lisinopril	metformin	simvastatin	37809	1628	12.57	0.0431	0	217.665	2.446
hydrochlorothiazide	lisinopril	metformin	omeprazole	pioglitazone	37744	468	8.95	0.0124	0	83.736	0.951
clopidogrel	lisinopril	metformin	simvastatin	glyburide	37743	1028	6.66	0.0272	0	364.679	2.392
clonazepam	hydrocodone	acetaminophen	amphetamine	dextroamphetamine	37695	3746	11.25	0.0994	0	2162.068	2.369
hydrochlorothiazide	metformin	sitagliptin	valsartan	glyburide	37681	2017	12.2	0.0535	0	1555.2	4.409
atorvastatin	clopidogrel	hydrochlorothiazide	metoprolol	thyroxine	37644	368	8.11	0.0098	0	31.886	0.767
amlodipine	hydrochlorothiazide	metoprolol	pioglitazone	simvastatin	37609	<100	9.36	 	0	60.912	2.294
digoxin	lisinopril	metoprolol	simvastatin	warfarin	37588	2175	2.38	0.0579	0	615.869	1.849
atorvastatin	lisinopril	metformin	acetaminophen	thyroxine	37572	<100	5.61	 	0	12.058	1.156
amlodipine	atorvastatin	fenofibrate	metformin	metoprolol	37563	278	8.36	0.0074	0	104.213	2.571
hydrocodone	lisinopril	metformin	pravastatin	acetaminophen	37563	1262	4.73	0.0336	0	62.574	1.425
gabapentin	hydrochlorothiazide	hydrocodone	triamterene	acetaminophen	37546	1074	5.4	0.0286	0	179.151	1.43
amlodipine	hydrochlorothiazide	losartan	salmeterol	fluticasone	37544	2130	13.13	0.0567	0	135.137	1.419
hydrochlorothiazide	metformin	metoprolol	triamterene	thyroxine	37516	962	3.11	0.0256	0	37.974	1.032
hydrochlorothiazide	insulin glargine	metformin	simvastatin	glyburide	37510	146	10.75	0.0039	0	453.919	2.23
furosemide	omeprazole	simvastatin	acetaminophen	thyroxine	37510	<100	3.61	 	0	47.782	2.676
ezetimibe	hydrochlorothiazide	lisinopril	metformin	sitagliptin	37420	388	12.27	0.0104	0	198.499	1.911
benazepril	ezetimibe	hydrochlorothiazide	metoprolol	simvastatin	37392	1809	7.25	0.0484	0	105.407	2.369
ezetimibe	hydrochlorothiazide	metformin	pioglitazone	valsartan	37359	231	14.22	0.0062	0	540.968	3.616
ezetimibe	metformin	simvastatin	sitagliptin	glyburide	37312	1231	12.72	0.033	0	2996.207	6.277
atenolol	hydrochlorothiazide	lisinopril	metformin	sitagliptin	37304	990	9	0.0265	0	132.723	1.524
alprazolam	hydrochlorothiazide	hydrocodone	losartan	acetaminophen	37286	1549	5.02	0.0415	0	69.019	1.309
amlodipine	glimepiride	metformin	pioglitazone	simvastatin	37233	363	9.56	0.0097	0	834.448	1.684
clopidogrel	hydrochlorothiazide	losartan	metformin	metoprolol	37224	362	7.41	0.0097	0	106.254	1.972
ezetimibe	hydrochlorothiazide	metoprolol	pioglitazone	simvastatin	37216	<100	11.6	 	0	178.384	1.774
amlodipine	metformin	pioglitazone	simvastatin	valsartan	37199	950	12.05	0.0255	0	269.495	2.186
amlodipine	hydrocodone	metformin	metoprolol	simvastatin	37198	<100	5.28	 	0	26.157	1.147
amlodipine	atenolol	atorvastatin	hydrochlorothiazide	thyroxine	37152	1055	5	0.0284	0	18.918	0.975
atorvastatin	benazepril	hydrochlorothiazide	metformin	pioglitazone	37146	1315	11.85	0.0354	0	261.004	2.628
amlodipine	benazepril	carvedilol	hydrochlorothiazide	metformin	37144	1020	5.65	0.0275	0	208.504	2.891
hydrochlorothiazide	lisinopril	lovastatin	metformin	metoprolol	37144	3008	3.54	0.081	0	60.804	1.566
hydrochlorothiazide	losartan	metformin	pioglitazone	sitagliptin	37141	1116	15.48	0.03	0	1104.891	3.3
amlodipine	metformin	pioglitazone	simvastatin	sitagliptin	37125	228	15.74	0.0061	0	755.235	1.476
hydrocodone	lisinopril	metoprolol	simvastatin	thyroxine	37109	<100	3.48	 	0	11.776	1.393
amlodipine	glipizide	hydrochlorothiazide	metformin	triamterene	37103	803	3.76	0.0216	0	290.78	3.353
hydrochlorothiazide	metformin	metoprolol	sitagliptin	glyburide	37078	<100	9.86	 	0	707.169	2.005
amlodipine	benazepril	hydrochlorothiazide	simvastatin	valsartan	37077	3867	7.35	0.1043	0	76.425	1.603
glipizide	metformin	metoprolol	simvastatin	sitagliptin	37070	491	9.75	0.0132	0	778.163	1.787
amlodipine	glimepiride	metformin	simvastatin	sitagliptin	37069	378	10.37	0.0102	0	965.611	1.683
amlodipine	clopidogrel	lisinopril	metformin	simvastatin	37064	545	7.25	0.0147	0	49.345	1.48
fenofibrate	glimepiride	lisinopril	metformin	simvastatin	37028	2120	5.58	0.0573	0	364.347	2.226
amlodipine	hydrochlorothiazide	losartan	metoprolol	omeprazole	36994	2372	4.55	0.0641	0	45.47	1.299
atorvastatin	hydrochlorothiazide	insulin glargine	metformin	pioglitazone	36982	<100	17.67	 	0	449.568	1.645
clopidogrel	ezetimibe	lisinopril	metformin	metoprolol	36936	181	9.26	0.0049	0	200.792	1.925
amlodipine	hydrochlorothiazide	metformin	pioglitazone	rosuvastatin	36923	<100	13.09	 	0	214.163	2.381
amlodipine	hydrochlorothiazide	metformin	triamterene	thyroxine	36900	656	3.66	0.0178	0	35.887	0.897
atorvastatin	metformin	metoprolol	pioglitazone	glyburide	36773	646	10.78	0.0176	0	1197.129	1.939
ezetimibe	glimepiride	metformin	metoprolol	simvastatin	36757	562	6.58	0.0153	0	466.334	1.963
amlodipine	atorvastatin	hydrochlorothiazide	pioglitazone	valsartan	36741	901	13.36	0.0245	0	172.536	3.229
atorvastatin	hydrochlorothiazide	salmeterol	valsartan	fluticasone	36688	1803	16.45	0.0491	0	138.836	1.233
amlodipine	lisinopril	metoprolol	acetaminophen	thyroxine	36642	<100	3.76	 	0	11.499	1.496
amlodipine	atorvastatin	hydrocodone	metformin	metoprolol	36622	<100	6.94	 	0	34.505	1.11
hydrochlorothiazide	metformin	omeprazole	pioglitazone	simvastatin	36606	<100	9.6	 	0	86.3	1.009
ezetimibe	furosemide	lisinopril	metoprolol	simvastatin	36580	1385	5.27	0.0379	0	124.082	1.369
atorvastatin	hydrochlorothiazide	metformin	pioglitazone	triamterene	36556	472	10.54	0.0129	0	292.067	3.353
amlodipine	hydrochlorothiazide	salmeterol	fluticasone	tiotropium	36541	421	18.67	0.0115	0	708.289	0.959
hydrochlorothiazide	metformin	rosuvastatin	sitagliptin	valsartan	36529	2336	15.69	0.0639	0	554.66	3.164
amlodipine	clopidogrel	hydrochlorothiazide	metoprolol	rosuvastatin	36525	538	10.54	0.0147	0	122.08	1.412
amlodipine	glipizide	metformin	simvastatin	sitagliptin	36511	442	10.3	0.0121	0	736.391	1.691
atenolol	atorvastatin	glipizide	lisinopril	metformin	36496	2280	4.48	0.0625	0	219.741	2.092
amlodipine	benazepril	montelukast	salmeterol	fluticasone	36493	2499	15.84	0.0685	0	844.702	4.942
hydrochlorothiazide	metformin	omeprazole	simvastatin	valsartan	36488	1355	6.72	0.0371	0	35.607	1.068
amlodipine	benazepril	glimepiride	metformin	metoprolol	36474	1170	4.98	0.0321	0	663.299	2.803
allopurinol	atorvastatin	hydrochlorothiazide	lisinopril	metformin	36450	1658	4.85	0.0455	0	52.242	2.052
amlodipine	clopidogrel	hydrochlorothiazide	simvastatin	valsartan	36431	1422	9.66	0.039	0	74.447	1.933
fenofibrate	hydrochlorothiazide	metformin	metoprolol	valsartan	36430	656	8.42	0.018	0	114.74	2.094
amlodipine	hydrochlorothiazide	metformin	pravastatin	valsartan	36414	2335	6.66	0.0641	0	100.623	2.173
glimepiride	insulin glargine	lisinopril	metformin	simvastatin	36403	2794	10.06	0.0768	0	589.279	2.471
clopidogrel	ezetimibe	metoprolol	simvastatin	valsartan	36385	2657	11.74	0.073	0	449.539	1.872
amlodipine	hydrochlorothiazide	omeprazole	acetaminophen	thyroxine	36334	<100	4.62	 	0	11.311	1.697
ezetimibe	hydrochlorothiazide	metformin	metoprolol	pioglitazone	36332	<100	11.88	 	0	243.113	1.858
benazepril	glipizide	hydrochlorothiazide	metformin	simvastatin	36297	2053	4.75	0.0566	0	188.717	2.386
atorvastatin	hydrochlorothiazide	metformin	glyburide	thyroxine	36255	124	5.4	0.0034	0	71.08	0.833
hydrochlorothiazide	insulin glargine	metformin	simvastatin	sitagliptin	36232	<100	16.82	 	0	382.08	1.521
amlodipine	clopidogrel	hydrochlorothiazide	simvastatin	acetaminophen	36201	<100	8.07	 	0	28.004	1.438
hydrochlorothiazide	metformin	pioglitazone	valsartan	thyroxine	36175	944	11.11	0.0261	0	118.49	0.792
hydrochlorothiazide	insulin glargine	metformin	simvastatin	thyroxine	36171	<100	10.47	 	0	40.376	0.858
fenofibrate	glipizide	hydrochlorothiazide	metformin	simvastatin	36151	<100	6.09	 	0	197.666	1.737
ezetimibe	hydrochlorothiazide	irbesartan	metformin	simvastatin	36139	1563	8.43	0.0432	0	290.297	4.151
fenofibrate	lisinopril	metformin	simvastatin	glyburide	36100	2859	5.69	0.0792	0	370.003	2.482
hydrochlorothiazide	lisinopril	metformin	omeprazole	sitagliptin	36084	1048	9.76	0.029	0	93.046	1.068
hydrochlorothiazide	lisinopril	metformin	pioglitazone	triamterene	36079	806	8.23	0.0223	0	202.451	2.299
atorvastatin	glipizide	metformin	pioglitazone	sitagliptin	36075	1799	16.63	0.0499	0	5304.575	3.868
atenolol	hydrochlorothiazide	lisinopril	metformin	omeprazole	36058	898	3.25	0.0249	0	29.183	1.272
atorvastatin	glipizide	hydrochlorothiazide	lisinopril	metoprolol	36050	901	4.61	0.025	0	55.058	1.745
clopidogrel	metformin	metoprolol	simvastatin	isosorbide	36035	410	6.85	0.0114	0	841.531	1.686
glipizide	hydrochlorothiazide	lisinopril	simvastatin	sitagliptin	36028	747	8.98	0.0207	0	249.545	1.88
ezetimibe	hydrochlorothiazide	lisinopril	metformin	thyroxine	35977	291	5.92	0.0081	0	20.201	0.93
lisinopril	metformin	omeprazole	simvastatin	glyburide	35977	2313	3.76	0.0643	0	157.63	1.057
atorvastatin	lisinopril	metformin	metoprolol	omeprazole	35886	1253	5.46	0.0349	0	30.212	1.196
glipizide	hydrocodone	lisinopril	simvastatin	acetaminophen	35847	457	4.33	0.0127	0	75.091	1.397
ezetimibe	hydrochlorothiazide	metformin	metoprolol	valsartan	35832	217	9	0.0061	0	99.246	2.251
hydrochlorothiazide	metformin	metoprolol	rosuvastatin	valsartan	35828	1627	9.66	0.0454	0	89.528	2.052
atorvastatin	fenofibrate	hydrochlorothiazide	metformin	sitagliptin	35826	<100	14	 	0	307.698	1.548
amlodipine	benazepril	fenofibrate	metformin	simvastatin	35784	1436	7.57	0.0401	0	227.816	1.902
amlodipine	metformin	simvastatin	sitagliptin	valsartan	35765	1052	12.86	0.0294	0	301.161	1.772
glimepiride	hydrochlorothiazide	lisinopril	metoprolol	simvastatin	35751	865	3.02	0.0242	0	52.632	1.877
hydrochlorothiazide	hydrocodone	metoprolol	omeprazole	simvastatin	35727	<100	4.66	 	0	17.485	1.529
metformin	montelukast	salmeterol	albuterol	fluticasone	35726	870	16.37	0.0244	0	583.111	0.372
amlodipine	benazepril	ezetimibe	pioglitazone	simvastatin	35709	1318	12.86	0.0369	0	1032.974	5.056
ezetimibe	insulin glargine	metformin	pioglitazone	simvastatin	35689	671	18.64	0.0188	0	1880.971	5.057
hydrocodone	lisinopril	metoprolol	omeprazole	acetaminophen	35683	690	4.6	0.0193	0	27.502	0.648
amlodipine	lisinopril	metoprolol	omeprazole	acetaminophen	35674	<100	4.36	 	0	24.058	2.015
amlodipine	glimepiride	hydrochlorothiazide	metformin	thyroxine	35632	<100	3.95	 	0	66.354	0.749
amlodipine	furosemide	simvastatin	acetaminophen	thyroxine	35610	<100	3.88	 	0	31.531	2.13
clopidogrel	fenofibrate	lisinopril	metoprolol	simvastatin	35595	3733	8.4	0.1049	0	157.618	1.985
amlodipine	lisinopril	metformin	pioglitazone	glyburide	35593	730	9.02	0.0205	0	781.906	1.279
amlodipine	carvedilol	hydrochlorothiazide	metformin	sitagliptin	35576	<100	10.81	 	0	394.673	3.648
atorvastatin	clopidogrel	fenofibrate	lisinopril	metoprolol	35572	4508	10.06	0.1267	0	211.051	1.911
gabapentin	hydrochlorothiazide	hydrocodone	metoprolol	acetaminophen	35546	248	5.84	0.007	0	48.513	0.515
ezetimibe	metformin	pioglitazone	ramipril	simvastatin	35486	2246	12.22	0.0633	0	2117.58	5.694
atenolol	atorvastatin	hydrochlorothiazide	metformin	valsartan	35484	2037	7.62	0.0574	0	64.016	1.693
allopurinol	hydrochlorothiazide	lisinopril	metformin	metoprolol	35472	799	2.96	0.0225	0	52.352	2.012
clopidogrel	fenofibrate	lisinopril	metformin	metoprolol	35471	286	8.68	0.0081	0	219.272	2.032
amlodipine	atorvastatin	hydrochlorothiazide	irbesartan	metoprolol	35451	4366	7.34	0.1232	0	127.42	2.849
hydrochlorothiazide	metformin	simvastatin	sitagliptin	triamterene	35441	696	9.69	0.0196	0	245.633	3.02
atorvastatin	fenofibrate	lisinopril	metformin	sitagliptin	35399	1698	13.42	0.048	0	423.627	2.131
hydrochlorothiazide	lisinopril	metformin	simvastatin	tamsulosin	35387	1839	4.7	0.052	0	34.015	1.155
amlodipine	benazepril	glipizide	metformin	sitagliptin	35374	1711	10.94	0.0484	0	3026.608	8.486
furosemide	hydrocodone	lisinopril	metoprolol	thyroxine	35363	<100	2.72	 	0	41.11	2.001
clopidogrel	glipizide	hydrochlorothiazide	metformin	metoprolol	35361	<100	6.83	 	0	251.479	1.306
benazepril	hydrochlorothiazide	metformin	simvastatin	sitagliptin	35331	1187	11	0.0336	0	215.352	2.648
allopurinol	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	35320	1353	3.99	0.0383	0	46.344	1.047
atorvastatin	glimepiride	hydrochlorothiazide	metformin	thyroxine	35316	107	5.29	0.003	0	66.472	0.899
amlodipine	glimepiride	hydrochlorothiazide	lisinopril	simvastatin	35306	984	3.57	0.0279	0	49.94	1.843
atorvastatin	hydrochlorothiazide	insulin glargine	metformin	valsartan	35293	688	14.79	0.0195	0	177.59	2.291
hydrochlorothiazide	lisinopril	meloxicam	metformin	simvastatin	35280	2087	3.4	0.0592	0	30.641	1.04
ezetimibe	metformin	simvastatin	sitagliptin	valsartan	35256	1178	15.1	0.0334	0	878.6	2.787
glimepiride	metformin	metoprolol	simvastatin	sitagliptin	35224	581	9.82	0.0165	0	954.978	1.665
benzocaine	hydrocortisone	neomycin	antipyrine	polymyxin b	35212	12949	9.62	0.3677	0	381612965.144	134.551
atorvastatin	metformin	pioglitazone	sitagliptin	glyburide	35208	1927	16.81	0.0547	0	6964.757	4.007
hydrochlorothiazide	lisinopril	metformin	rosuvastatin	thyroxine	35202	2358	6.58	0.067	0	17.833	0.864
atorvastatin	hydrochlorothiazide	metformin	metoprolol	olmesartan	35182	1610	8.06	0.0458	0	63.732	2.102
atorvastatin	lisinopril	metoprolol	acetaminophen	thyroxine	35144	<100	5.1	 	0	11.147	1.366
diazepam	hydrochlorothiazide	hydrocodone	lisinopril	acetaminophen	35138	2904	6.46	0.0826	0	81.237	1.12
hydrochlorothiazide	metformin	simvastatin	sitagliptin	olmesartan	35119	2075	12.43	0.0591	0	288.517	2.737
hydrochlorothiazide	lisinopril	pioglitazone	simvastatin	sitagliptin	35115	461	14.42	0.0131	0	245.319	1.846
hydrochlorothiazide	hydrocodone	lisinopril	lorazepam	acetaminophen	35075	1624	4.41	0.0463	0	42.861	0.938
atenolol	atorvastatin	hydrochlorothiazide	metformin	triamterene	35062	1453	4.84	0.0414	0	102.193	2.481
amlodipine	hydrochlorothiazide	metformin	glyburide	olmesartan	35050	1831	6.68	0.0522	0	438.039	4.154
amlodipine	atorvastatin	insulin glargine	metformin	metoprolol	35030	142	12.84	0.0041	0	159.882	2.46
